མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,87,2,《པེ་》《སྣར་》,པན།,
,,88,3,《པེ་》《སྣར་》,བསྟེན།,
,881,89,1,《པེ་》《སྣར་》,རེ།,
,,90,2,《པེ་》《སྣར་》,བསྐལ།,
,,91,3,《པེ་》《སྣར་》,བཤད།,
,,92,4,《པེ་》《སྣར་》,གཟུང་།,
,,93,5,《པེ་》《སྣར་》,ཀྱི།,
,,94,6,《པེ་》《སྣར་》,བྱུང་།,
,,95,7,《པེ་》《སྣར་》,ར།,
,,96,8,《པེ་》《སྣར་》,mཔ།,
,,97,9,《པེ་》《སྣར་》,ལོཙྪ།,
