མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ཡེ་ཤེས་མགོན་པོ་གྲི་གུག་ཅན་གྱི་བདག་བསྐྱེད་བཟླས་པ་བསྟོད་པ་རྣམས་བཞུགས།,540,2,1,,མཚན་བྱང་འདི་72ལྟར་བཀོད།,
,541,3,1,《པེ་》,བསྔོ།,
,,4,2,《པེ་》,རྟགས།,
,,5,3,《པེ་》,བནྡྷ་སྟོན།,
,,6,4,《པེ་》,བསྲུངས།,
