མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །བདུན་ཚིགས་ཀྱི་ཆོ་ག,206,2,1,《པེ་》,༄༅། །བདུན་ཚིགས་ཀྱི་ཆོ་ག་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,གཤེད།,,,,,,
,,4,3,《པེ་》,pབདུན་པ་སྟེ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,5,4,《པེ་》,གཤེད།,,,,,,
,,6,5,《པེ་》,བསྟོན།,,,,,,
,207,7,1,《པེ་》,mམདུན་ན།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,8,2,《པེ་》,བསད།,,,,,,
,,9,3,《པེ་》,pབྱེད་དུ་བཅུག་པ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,10,4,《པེ་》,ཀྱི།,,,,,,
,208,11,1,《པེ་》,ཐོས།,,,,,,
,,12,2,《པེ་》,pལས།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,13,3,《པེ་》,སྟོན།,,,,,,
,,14,4,《པེ་》,རིགས།,,,,,,
,,15,5,《པེ་》,བསམས།,,,,,,
