རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཚན།,
,,98,6,《པེ་》《སྣར་》,ཨཏྨ།,,
,554,99,1,《པེ་》《སྣར་》,བའོ།།,,
,,100,2,《པེ་》《སྣར་》,ལེའུ་གཟུགས་ཀྱི།,,
,,101,3,《པེ་》《སྣར་》,ཞུགས།,,
,,102,4,《པེ་》《སྣར་》,བརླབ།,,
,,103,5,《པེ་》《སྣར་》,ཨཏྨ།,,
,,104,6,《པེ་》《ཅོ་》,སྐུར།,,
,,105,7,《པེ་》《སྣར་》,གྱི།,,
,555,106,1,《པེ་》《སྣར་》,ཀིའི།,,
,,107,2,《པེ་》,mབདེ།,,
,,108,3,《པེ་》《སྣར་》,བསྡིགས་པར་བྱེད་དེ།,,
,,109,4,《པེ་》《སྣར་》,།།  །། དེ་ལྟར།,《ཅོ་》,དེ་ལྟར་ཡང།,
,,110,5,《པེ་》《སྣར་》,mཁྱོད་ནི།,,
,556,111,1,《པེ་》《སྣར་》,རྗེ།,,
,,112,2,《པེ་》《སྣར་》,མདུང།,,
,,113,3,《པེ་》《སྣར་》,mརྣམས་ཀྱི།,
,,114,4,《པེ་》《སྣར་》,ཀྱི།,
,,115,5,《པེ་》《སྣར་》,གྱིས།,
,,116,6,《པེ་》《སྣར་》,པ།,
,557,117,1,《པེ་》《སྣར་》,པའི་གཟུགས།,
,,118,2,《པེ་》《སྣར་》,རྟག,
,,119,3,《པེ་》《སྣར་》,པའི།,
,,120,4,《པེ་》《སྣར་》,གྱིས།,
,,121,5,《པེ་》《སྣར་》,བའི།,
,,122,6,《པེ་》,སྷོ།,
,,123,7,《པེ་》《སྣར་》,།།  །།,
,558,124,1,《པེ་》《སྣར་》,pལ།,
,,125,2,《པེ་》《སྣར་》,གློག་ཀྱ།,
,,126,3,《པེ་》《སྣར་》,mཐོ་ལིང།,
,,127,4,《པེ་》《སྣར་》,ཀ།,
,,128,5,《པེ་》《སྣར་》,པ།,
