མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,
ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ། ,997,2,1,《པེ་》《སྣར་》,ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཕྱོགས་གླང་གིས་མཛད་པའོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,
,,54,2,《སྣར་》,ཕྱིན།,,,,,,,,,,,,,,,,,,,,,,
,,55,3,《སྣར་》,རྒྱུན།,,,,,,,,,,,,,,,,,,,,,,
,,56,4,《པེ་》《སྣར་》,དང་མེ་དང་།,,,,,,,,,,,,,,,,,,,,,,
,,57,5,《པེ་》《སྣར་》,བསྡུད།,,,,,,,,,,,,,,,,,,,,,,
,1006,58,1,《པེ་》《སྣར་》,mབར།,,,,,,,,,,,,,,,,,,,,,,
,,59,2,《པེ་》《སྣར་》,ནི།,,,,,,,,,,,,,,,,,,,,,,
,,60,3,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),,,,,,,,,,,,,,,,
,1007,61,1,《པེ་》《སྣར་》,ལ།,,,,,,,,,,,,,,,,,,,,,,
,,62,2,《པེ་》《སྣར་》,འང་།,,,,,,,,,,,,,,,,,,,,,,
,1008,63,1,《སྣར་》,ད།,,,,,,,,,,,,,,,,,,,,,,
,,64,2,《པེ་》《སྣར་》,mན།,,,,,,,,,,,,,,,,,,,,,,
,,65,3,《སྣར་》,བརྟེན།,,,,,,,,,,,,,,,,,,,,,,
,,66,4,《པེ་》《སྣར་》,མཚན།,,,,,,,,,,,,,,,,,,,,,,
,1009,67,1,《པེ་》《སྣར་》,mདེ།,,,,,,,,,,,,,,,,,,,,,,
,,68,2,《སྣར་》,འདུས།,,,,,,,,,,,,,,,,,,,,,,
,,69,3,《སྣར་》,བྱུང་།,,,,,,,,,,,,,,,,,,,,,,
,,70,4,《སྣར་》,གྱིས།,,,,,,,,,,,,,,,,,,,,,,
,,71,5,《པེ་》《སྣར་》,mཞེ་ན།,,,,,,,,,,,,,,,,,,,,,,
,,72,6,《པེ་》《སྣར་》,སྦྱར།,,,,,,,,,,,,,,,,,,,,,,
,,73,7,《པེ་》《སྣར་》,mཡིན།,,,,,,,,,,,,,,,,,,,,,,
,1010,74,1,《པེ་》《སྣར་》,རིང་།,,,,,,,,,,,,,,,,,,,,,,
,,75,2,《པེ་》《སྣར་》,pཔོ།,,,,,,,,,,,,,,,,,,,,,,
,,76,3,《པེ་》《སྣར་》,བརྟུལ།,,,,,,,,,,,,,,,,,,,,,,
,,77,4,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,,78,5,《པེ་》《སྣར་》,ཏོ།།,,,,,,,,,,,,,,,,,,,,,,
,,79,6,《པེ་》,pཏུ།,,,,,,,,,,,,,,,,,,,,,,
,1011,80,1,《པེ་》《སྣར་》,གིས།,,,,,,,,,,,,,,,,,,,,,,
,,81,2,《པེ་》,རག,,,,,,,,,,,,,,,,,,,,,,
,,82,3,《པེ་》《སྣར་》,mཕུང་པོ་དག་ཏུ་ནི་མ་ཡིན་ཞེ་ན།,,,,,,,,,,,,,,,,,,,,,,
,,83,4,《པེ་》,མི།,,,,,,,,,,,,,,,,,,,,,,
,,84,5,《སྣར་》,གཉིད།,,,,,,,,,,,,,,,,,,,,,,
,,85,6,《སྣར་》,རིམས།,,,,,,,,,,,,,,,,,,,,,,
,,86,7,《པེ་》《སྣར་》,སྣོད།,,,,,,,,,,,,,,,,,,,,,,
,,87,8,《པེ་》《སྣར་》,པའི།,,,,,,,,,,,,,,,,,,,,,,
,,88,9,《པེ་》,ཆོས།,,,,,,,,,,,,,,,,,,,,,,
,1012,89,1,《པེ་》《སྣར་》,ཆོས།,,,,,,,,,,,,,,,,,,,,,,
,,90,2,《པེ་》《སྣར་》,རིམས།,,,,,,,,,,,,,,,,,,,,,,
,1013,91,1,《པེ་》,pདེ།,,,,,,,,,,,,,,,,,,,,,,
,,92,2,《པེ་》《སྣར་》,པར།,,,,,,,,,,,,,,,,,,,,,,
,,93,3,《པེ་》,གཉིས།;《སྣར་》,གཉིས་ལས།,,,,,,,,,,,,,,,,,,,,,
,,94,4,《པེ་》《སྣར་》,བཞིན་རིམ།,,,,,,,,,,,,,,,,,,,,,,
,,95,5,《སྣར་》,pནི།,,,,,,,,,,,,,,,,,,,,,,
,,96,6,《པེ་》《སྣར་》,ལྕིའིའོ།,,,,,,,,,,,,,,,,,,,,,,
,,97,7,《པེ་》《སྣར་》,pན།,,,,,,,,,,,,,,,,,,,,,,
,,98,8,《པེ་》《སྣར་》,པོས།,,,,,,,,,,,,,,,,,,,,,,
,,99,9,《པེ་》,གཉིས།;《སྣར་》,ཅི།,,,,,,,,,,,,,,,,,,,,,
,,100,10,《པེ་》《སྣར་》,ཅི།,,,,,,,,,,,,,,,,,,,,,,
,1014,101,1,《པེ་》,འདིའོ།,,,,,,,,,,,,,,,,,,,,,,
,,102,2,《སྣར་》,རྟག,,,,,,,,,,,,,,,,,,,,,,
,,103,3,《པེ་》《སྣར་》,བརྗོད།,,,,,,,,,,,,,,,,,,,,,,
,,104,4,《པེ་》,ཉིས།,,,,,,,,,,,,,,,,,,,,,,
,,105,5,《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,,,,,,,,,
,,106,6,《པེ་》《སྣར་》,གིས།,,,,,,,,,,,,,,,,,,,,,,
,,107,7,《པེ་》《སྣར་》,གི།,,,,,,,,,,,,,,,,,,,,,,
,1015,108,1,《པེ་》《སྣར་》,གིས།,,,,,,,,,,,,,,,,,,,,,,
,,109,2,《པེ་》,གཞན།,,,,,,,,,,,,,,,,,,,,,,
,,110,3,《པེ་》《སྣར་》,དང་།,,,,,,,,,,,,,,,,,,,,,,
,,111,4,《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,,112,5,《པེ་》《སྣར་》,mགཞན།,,,,,,,,,,,,,,,,,,,,,,
,1016,113,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,,,,,,,,,,,,,,,,,
,,114,2,《སྣར་》,pཅད།,,,,,,,,,,,,,,,,,,,,,,
