མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,106,8,《པེ་》《སྣར་》,པས།,
,466,107,1,《པེ་》《སྣར་》,ཚིགས་དུ།,
,,108,2,《པེ་》《སྣར་》,ཀྱི།,
,,109,3,《པེ་》《སྣར་》,ལོ།,
,,110,4,《པེ་》《སྣར་》,བ།,
,,111,5,《པེ་》《སྣར་》,mགལ་ཏེ།,
,,112,6,《པེ་》《སྣར་》,གགས།,
,,113,7,《པེ་》《སྣར་》,གྱི།,
,,114,8,《པེ་》《སྣར་》,ནས།,
,,115,9,《པེ་》《སྣར་》,དཔའ།,
,,116,10,《པེ་》《སྣར་》,mཔ།,
,,117,11,《པེ་》《སྣར་》,ནས།,
,,118,12,《པེ་》《སྣར་》,གྱི།,
,467,119,1,《པེ་》《སྣར་》,mརིགས་པའི་ཚུལ་གྱིས།,
,,120,2,《པེ་》,གྱི།,
,,121,3,《པེ་》《སྣར་》,བརྗོད།,
,,122,4,《པེ་》《སྣར་》,སྙོམས།,
,,123,5,《པེ་》《སྣར་》,ཉིད།,
,,124,6,《པེ་》《སྣར་》,ཀྱི།,
,,125,7,《པེ་》《སྣར་》,mསོགས་པ།,
,,126,8,《པེ་》《སྣར་》,pལ།,
,,127,9,《པེ་》《སྣར་》,ཏམ།,
,,128,10,《སྣར་》,ཏམ།,
,,129,11,《པེ་》《སྣར་》,pབ།,
,,130,12,《པེ་》《སྣར་》,དེ།,
,468,131,1,《པེ་》《སྣར་》,པོས།,
,,132,2,《པེ་》《སྣར་》,གིས།,
,,133,3,《པེ་》《སྣར་》,mལ་བོས་པ།,
,,134,4,《སྣར་》,སྙོམས།,
,,135,5,《པེ་》《སྣར་》,སོང་།,
,,136,6,《པེ་》《སྣར་》,བསྲུང་།,
,,137,7,《པེ་》《སྣར་》,ཀྱིས།,
,,138,8,《པེ་》《སྣར་》,མཐོ་འཚམ།,
,,139,9,《པེ་》《སྣར་》,གི།,
,469,140,1,《པེ་》《སྣར་》,ཀྱི།,
,,141,2,《སྣར་》,mཔ།,
,,142,3,《པེ་》《སྣར་》,འཕོངས།,
,,143,4,《པེ་》《སྣར་》,བསད་པ་འམ། བཅིངས་པའམ།,
,,144,5,《པེ་》《སྣར་》,བཅད།,
,,145,6,《པེ་》《སྣར་》,mསེམས་ཀྱི།,
,,146,7,《པེ་》《སྣར་》,གྱི།,
,470,147,1,《པེ་》《སྣར་》,སྙོམས།,
,,148,2,《པེ་》《སྣར་》,འཚོལ།,
,,149,3,《པེ་》,བརྟུལ་པོ།,《སྣར་》,རྟུལ་པོ།
,,150,4,《པེ་》《སྣར་》,ལག་ཏུ།,
,,151,5,《པེ་》《སྣར་》,mལ།,
,,152,6,《པེ་》,རུང་བ།,
,,153,7,《པེ་》《སྣར་》,ན།,
,,154,8,《པེ་》《སྣར་》,གྱིས།,
,471,155,1,《པེ་》《སྣར་》,mནི།,
,,156,2,《པེ་》《སྣར་》,ནས།,
,,157,3,《པེ་》《སྣར་》,གྱིས།,
,,158,4,《པེ་》《སྣར་》,mབྱ་བ་ཆུང་།།,
,,159,5,《པེ་》《སྣར་》,བཅད།,
,,160,6,《པེ་》《སྣར་》,བཞག,
,,161,7,《སྣར་》,གིར་ན།,
,,162,8,《པེ་》《སྣར་》,mརྣམས་ནི།,
,,163,9,《པེ་》《སྣར་》,ལྟ་བས།,
,,164,10,《པེ་》《སྣར་》,ལ།,
,472,165,1,《པེ་》《སྣར་》,mནི།,
,,166,2,《པེ་》《སྣར་》,གིས།,
,,167,3,《པེ་》《སྣར་》,དུར།,
,,168,4,《སྣར་》,བླངས་པར།,
,,169,5,《པེ་》《སྣར་》,ཀྱིས།,
,,170,6,《པེ་》《སྣར་》,བཞག,
,,171,7,《པེ་》《སྣར་》,pགནས་པ་ནི་དེ་ལ་སོགས་པ་ཉན་ཐོས་དོན་ཉུང་ཞིང་བྱ་བ་ཉུང་ལ།,
,473,172,1,《སྣར་》,སྙོམས།,
,,173,2,《པེ་》《སྣར་》,ངུར།,
,,174,3,《པེ་》《སྣར་》,གྱི།,
,,175,4,《པེ་》,དཔས།,
,,176,5,《པེ་》《སྣར་》,mཡང་།,
,,177,6,《པེ་》《སྣར་》,བསད་པར་བྱ་སྟེ།  ,
,,178,7,《པེ་》《སྣར་》,mདག,
,,179,8,《པེ་》《སྣར་》,དཔའ།,
,,180,9,《པེ་》《སྣར་》,བསླང་།,
,474,181,1,《པེ་》《སྣར་》,ན།,
,,182,2,《སྣར་》,བསམས།,
,,183,3,《པེ་》《སྣར་》,དཔའ་ནོར་གྱི།,
,,184,4,《པེ་》,སྤྱད་པ་དེ།,《སྣར་》,སྤྱོད་པ་དེས།
,,185,5,《པེ་》《སྣར་》,བསྲུང་།,
,,186,6,《སྣར་》,སྤྱོད།,
,,187,7,《སྣར་》,པར།,
,,188,8,《པེ་》,མགུར།,
,475,189,1,《པེ་》《སྣར་》,བརྟེན།,
,,190,2,《པེ་》《སྣར་》,བརྟེན།,
,,191,3,《པེ་》《སྣར་》,བསྲུང་།,
,,192,4,《པེ་》《སྣར་》,རྟེན།,
,,193,5,《པེ་》《སྣར་》,བཅིང་བ།,
,,194,6,《པེ་》《སྣར་》,mཡང་།,
,,195,7,《པེ་》《སྣར་》,mདུ།,
,,196,8,《སྣར་》,ཕམ།,
,476,197,1,《སྣར་》,རྣམས།,
,,198,2,《པེ་》《སྣར་》,mཡང་།,
