མཚན་བྱངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,114,3,《པེ་》《སྣར་》,དེ།,,
,,115,4,《པེ་》《སྣར་》,སྤང།,,
,577,116,1,《པེ་》《སྣར་》,ཞེ།,,
,,117,2,《པེ་》《སྣར་》,ཚུགས།,,
,,118,3,《པེ་》《སྣར་》,པོར།,,
,,119,4,《པེ་》《སྣར་》,བསྟན།,,
,,120,5,《པེ་》《སྣར་》,གྱིས།,,
,579,121,1,《པེ་》《སྣར་》,མ་ཡིན།,,
,,122,2,《པེ་》《སྣར་》,དུ།,,
,,123,3,《པེ་》《སྣར་》,ལས།,,
,580,124,1,《པེ་》《སྣར་》,རྨིན།,,
,,125,2,《པེ་》,བརྟན་མིང།,《སྣར་》,བརྟེན་མིང།,
,,126,3,《པེ་》《སྣར་》,མེད།,,
,,127,4,《པེ་》《སྣར་》,ལ།,,
,,128,5,《པེ་》《སྣར་》,རྟགས།,,
,,129,6,《པེ་》《སྣར་》,བསྙེད།,
,581,130,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,131,2,《པེ་》《སྣར་》,ན།,
,,132,3,《པེ་》《སྣར་》,མི།,
,582,133,1,《སྣར་》,བྱར།,
,,134,2,《པེ་》《སྣར་》,པོར།,
,,135,3,《སྣར་》,གཞུགས།,
,,136,4,《པེ་》《སྣར་》,ནུས།,
,,137,5,《པེ་》《སྣར་》,mལ་དེ།,
,,138,6,《པེ་》《སྣར་》,བཅོལ།,
,,139,7,《སྣར་》,pཔར།,
,,140,8,《པེ་》《སྣར་》,རྣམ།,
,,141,9,《པེ་》《སྣར་》,བ།,
,,142,10,《སྣར་》,མེད།,
,583,143,1,《སྣར་》,ཞེས།,
,,144,2,《པེ་》《སྣར་》,གཞིར།,
,,145,3,《པེ་》《སྣར་》,ཀྱང།,,
,,146,4,《པེ་》《སྣར་》,ཞེས།,,
,,147,5,《སྣར་》,དོ།,,
,,148,6,《པེ་》《སྣར་》,པ།,,
,584,149,1,《པེ་》《སྣར་》,ཡི།,,
,,150,2,《པེ་》,mདེ།,,
,,151,3,《པེ་》《སྣར་》,ཞེས།,,
,,152,4,《ཅོ་》,དོན།,,
,585,153,1,《པེ་》《སྣར་》,འཁྲུགས།,,
,,154,2,《པེ་》《སྣར་》,ནི།,,
,,155,3,《པེ་》《སྣར་》,ཤེས།,,
,586,156,1,《པེ་》《སྣར་》,སྟོན།,,
,,157,2,《པེ་》《སྣར་》,དེ་དེ།,,
,,158,3,《པེ་》,མི་འཇིགས་མིན་པ།,《སྣར་》,མི་འཇིག་མིན་པ།,
,,159,4,《པེ་》《སྣར་》,གཞན།,,
,587,160,1,《པེ་》《སྣར་》,འགྱུར།,,
,588,161,1,《སྣར་》,བ་འགྱུར་བའང།,,
,,162,2,《པེ་》《སྣར་》,གྱིས།,,
,589,163,1,《པེ་》,mཕྲག,,
,,164,2,《པེ་》《སྣར་》,བསྒྱུར།,,
,,165,3,《པེ་》《སྣར་》,ཅིང།,,
,590,166,1,《པེ་》《སྣར་》,པ།,,
,,167,2,《པེ་》,རིག་པའང།,《སྣར་》,རིགས་ཀྱང།,
,,168,3,《པེ་》《སྣར་》,བསྟེན།,,
,,169,4,《པེ་》《སྣར་》,རིགས།,,
,591,170,1,《པེ་》《སྣར་》,ཅིང།,,
,,171,2,《པེ་》《སྣར་》,གུལ།,,
,592,172,1,《པེ་》《སྣར་》,རྣམས།,,
,,173,2,《པེ་》《སྣར་》,ཟློག,,
,,174,3,《པེ་》《སྣར་》,མི།,,
,,175,4,《པེ་》《སྣར་》,ཟས།,,
,,176,5,《པེ་》《སྣར་》,ལའང།,,
,,177,6,《པེ་》《སྣར་》,ཞེས།,
,,178,7,《པེ་》《སྣར་》,ཀྱི།,
,593,179,1,《སྣར་》,རྟོགས།,
,,180,2,《པེ་》《སྣར་》,མཐར་བརྒྱད།,
,,181,3,《པེ་》《སྣར་》,དང།,
,,182,4,《པེ་》《སྣར་》,བཞིར།,
,,183,5,《པེ་》《སྣར་》,མཁའི།,
,,184,6,《སྣར་》,pམ།,
,,185,7,《པེ་》《སྣར་》,འདིར།,
,594,186,1,《པེ་》《སྣར་》,ཐོབ།,
,,187,2,《པེ་》《སྣར་》,ཁྱེད།,
,,188,3,《པེ་》,ཞབས།,
,,189,4,《པེ་》《སྣར་》,པ།,
,,190,5,《པེ་》《སྣར་》,ཞིང།,
,595,191,1,《སྣར་》,pན།,
,,192,2,《སྣར་》,རྗེའི་ཁྱོད་ལུགས།,
,,193,3,《སྣར་》,mན།,
,,194,4,《པེ་》《སྣར་》,ད།,
,596,195,1,《པེ་》《སྣར་》,ཀྱིས།,
,,196,2,《པེ་》《སྣར་》,བདེར།,
,,197,3,《པེ་》《སྣར་》,བསལ།,
,,198,4,《པེ་》,pམ།,
,,199,5,《པེ་》《སྣར་》,ལོ་ཙཱ།,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
