            མཚན་བྱང་།,         ཤོག་གྲངས།,1,              མཆན་གྲངས།,               པར་མ།,                                                                           མཆན།
,793,107,1,《པེ་》《སྣར་》,སྨྲ།,,
,,108,2,《པེ་》《སྣར་》,སྐྱེ།,,
,,109,3,《པེ་》《སྣར་》,སྨྲ།,,
,,110,4,《པེ་》《སྣར་》,པ།,,
,,111,5,《པེ་》,pབ།,,
,,112,6,《པེ་》《སྣར་》,པར།,,
,,113,7,《པེ་》《སྣར་》,ལ།,
,,114,8,《པེ་》《སྣར་》,pབ།,
,,115,9,《པེ་》《སྣར་》,དགེའང་།,
,,116,10,《པེ་》《སྣར་》,སྟེང་།,
,,117,11,《པེ་》《སྣར་》,ཅན་གཅིག,
,,118,12,《པེ་》《ཅོ་》,སྲིད།,
,,119,13,《པེ་》《སྣར་》,དེས།,
,,120,14,《པེ་》《སྣར་》,ཡི།,
,,121,15,《པེ་》《སྣར་》,སྤྱད།,
,,122,16,《པེ་》《སྣར་》,གྱུར་པ།,
,,123,17,《པེ་》《སྣར་》,གྱུར་པ།,
,,124,18,《ཅོ་》《སྣར་》,རིགས།,
,794,125,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,,126,2,《པེ་》《སྣར་》,དཔའ།,
,,127,3,《པེ་》《སྣར་》,བར།,
,,128,4,《པེ་》《སྣར་》,གྱིས།,
,,129,5,《པེ་》《སྣར་》,དག,,
,,130,6,《ཅོ་》,པ།,,
,,131,7,《པེ་》《སྣར་》,སོགས།,《ཅོ་》,སྤོབས།,
,,132,8,《ཅོ་》,ལ།,,
,795,133,1,《པེ་》《སྣར་》,གཞན།,,
,,134,2,《པེ་》《སྣར་》,པའོ།,,
,,135,3,《པེ་》《སྣར་》,འཕྲད་པ་ལ།,,
,,136,4,《པེ་》《སྣར་》,རྟོག།,,
,,137,5,《པེ་》《སྣར་》,དེ།,,
,,138,6,《པེ་》《སྣར་》,གྱུར།,,
,,139,7,《པེ་》《སྣར་》,བསྟན།,,
,796,140,1,《སྣར་》,ད།,,
,,141,2,《པེ་》《སྣར་》,རྣམས།,,
,,142,3,《པེ་》《སྣར་》,པ།,,
,,143,4,《ཅོ་》,ནར།,,
,,144,5,《པེ་》《སྣར་》,ཡངས།,,
,,145,6,《པེ་》《སྣར་》,ནས།,,
,,146,7,《པེ་》《སྣར་》,ལ།,,
,,147,8,《པེ་》《སྣར་》,བའང་།,,
,,148,9,《ཅོ་》,པ།,,
,,149,10,《པེ་》《སྣར་》,བར།,,
,,150,11,《པེ་》《སྣར་》,ནས།,,
,,151,12,《པེ་》《སྣར་》,འབྱུང་།,,
,797,152,1,《པེ་》《སྣར་》《ཅོ་》,ཉིད།,,
,,153,2,《པེ་》《སྣར་》,སྤང་བའི།,《ཅོ་》,པ་སྤངས་པའི།,
,,154,3,《པེ་》《སྣར་》,ཏུ།,,
,,155,4,《པེ་》《སྣར་》《ཅོ་》,ཀྱི་འདྲེན།,,
,,156,5,《པེ་》《སྣར་》,ཀྱི།,,
,,157,6,《པེ་》《སྣར་》,གཞན།,,
,,158,7,《པེ་》《སྣར་》,པ།,,
,,159,8,《པེ་》《སྣར་》,ལྟ།,,
,798,160,1,《པེ་》《སྣར་》,མཐའ།,,
,,161,2,《པེ་》《སྣར་》,ནི།,,
,,162,3,《པེ་》《སྣར་》,སོ།,,
,,163,4,《པེ་》《སྣར་》,སྟེང་།,,
,,164,5,《པེ་》,བསོད་ནམས།,《སྣར་》,བསོད་གནས།,
,,165,6,《པེ་》《སྣར་》,ལས།,,
,,166,7,《པེ་》《སྣར་》,འགྱུར།,,
,,167,8,《པེ་》《སྣར་》,པ།,,
,,168,9,《པེ་》《སྣར་》,གིས།,,
,,169,10,《པེ་》《སྣར་》,pལྟར།,,
,,170,11,《པེ་》《སྣར་》,ལས།,,
,,171,12,《པེ་》《སྣར་》,mབ།,,
,,172,13,《པེ་》《སྣར་》,པར་འཇིགས་སྐྱེ།,,
,,173,14,《པེ་》《སྣར་》,བསྐྱེད།,,
,799,174,1,《པེ་》《སྣར་》,ལོགས།,,
,,175,2,《པེ་》《སྣར་》,ཡོངས།,,
,,176,3,《པེ་》《སྣར་》,བ།,,
,,177,4,《པེ་》《སྣར་》,བས་ཤིས་འགྱུར་བ།,,
,,178,5,《པེ་》《སྣར་》,ཡི།,,
,,179,6,《པེ་》《སྣར་》,ནས།,,
,,180,7,《པེ་》《སྣར་》,བུ།,,
,,181,8,《པེ་》《སྣར་》,པ།,,
,,182,9,《པེ་》,བའང་།,《སྣར་》,བ་གང་།,
,,183,10,《ཅོ་》,གྱིས།,,
,,184,11,《པེ་》《སྣར་》,དང་།,,
,,185,12,《པེ་》《སྣར་》,པ།,,
,800,186,1,《པེ་》《སྣར་》,དེ།,,
,,187,2,《ཅོ་》,ཡི།,,
,,188,3,《པེ་》《སྣར་》,ཉིད།,,
,,189,4,《ཅོ་》,ལ།,,
,,190,5,《པེ་》《སྣར་》,བྱུང་།,,
,,191,6,《པེ་》《སྣར་》,ཡོངས།,,
,,192,7,《པེ་》《སྣར་》,བྲལ།,,
,,193,8,《པེ་》《སྣར་》,འདིར།,
