           མཚན་བྱང་།,           ཤོག་གྲངས།,1,          མཆན་གྲངས།,            པར་མ།,         མཆན།,
,,106,19,《པེ་》《སྣར་》,བཟུང་།,
,,107,20,《པེ་》《སྣར་》,འབག།,
,,108,21,《པེ་》《སྣར་》,།། །།,
,920,109,1,《སྣར་》,གཟན།,
,,110,2,《པེ་》《སྣར་》,པོར།,
,,111,3,《པེ་》《སྣར་》,།། །།,
,,112,4,《སྣར་》,བརླབ།,
,,113,5,《པེ་》《སྣར་》,འཐོན།,
,,114,6,《པེ་》《སྣར་》,།། །།,
,,115,7,《པེ་》《སྣར་》,ཀྱིས།,
,,116,8,《པེ་》,གཞོན།,
,,117,9,《པེ་》《སྣར་》,གཞོན།,
,,118,10,《པེ་》《སྣར་》,པའོ།,
,,119,11,《པེ་》《སྣར་》,ཅི།,
,921,120,1,《པེ་》《སྣར་》,རྩ།,
,,121,2,《ཅོ་》,པར།,
,,122,3,《སྣར་》,བསྲུང་བ།,
,,123,4,《ཅོ་》,པར།,
,,124,5,《པེ་》《སྣར་》,མཁན་པོ།,
,,125,6,《པེ་》《སྣར་》,བསྲུང་།,
,,126,7,《པེ་》,འཁྲུལ།,
,,127,8,《པེ་》《སྣར་》,ནས།,
,,128,9,《པེ་》《སྣར་》,བསྲུང་།,
,,129,10,《པེ་》《སྣར་》,པའོ།།,
,922,130,1,《པེ་》《སྣར་》,བྱ་བའི།,
,,131,2,《པེ་》《སྣར་》,རྩ།,
,,132,3,《པེ་》《སྣར་》,ཚུགས།,
,,133,4,《པེ་》,མ།,
,,134,5,《པེ་》《སྣར་》,།། །།,
,,135,6,《པེ་》《སྣར་》,ཞེ།,
,,136,7,《པེ་》《སྣར་》,mལེན་པ།,
,,137,8,《སྣར་》,སྤྱད།,
,,138,9,《པེ་》《སྣར་》,pནི།,
,,139,10,《པེ་》《སྣར་》,།། །།,
,,140,11,《པེ་》《སྣར་》,ཀྱི།,
,,141,12,《པེ་》《སྣར་》,ནི།,
,923,142,1,《པེ་》《སྣར་》,ལོཙྪ།,
,,143,2,《པེ་》,pཤཱཀྱའི་རྒྱལ་པོ་ལ་ན་མོ།། །།དགེའོ།། །།སརྦ་མངྒལཾ།།, 《སྣར་》,pཤཱཀྱའི་རྒྱལ་པོ་ལ་ན་མོ།།
,,,,,,
,,,,,,
,,,,,,
,,,,,,
