མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,86,8,《པེ་》《སྣར་》,pཆགས་འགྱུར་ལས།  ཕྱོགས་བཅུ་ན་བཞུགས་པའི་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་བདག་ལ་དགོངས་སུ་གསོལ།  བདག་མིང་འདི་ཞེས་བགྱི་བ།  དུས་འདི་ནས་བཟུང་ནས་ཇི་སྲིད་བྱང་ཆུབ་སྙིང་པོ་ལ་མཆིས་ཀྱི་བར་དུ།  ཇི་ལྟར་དུས་གསུམ་མགོན་པོ་རྣམས།  །བྱང་ཆུབ་ཏུ་ནི་ངེས་མཛད་པའི།  །བྱང་ཆུབ་སེམས་ནི་བླ་མེད་པས།  །དམ་པ་བདག་གིས་བསྐྱེད་པར་བགྱི་ཟེར།
,53,87,1,《པེ་》《སྣར་》,གི།
,,88,2,《པེ་》,བསྒྲལ།,《སྣར་》,བརྒལ།
,,89,3,《པེ་》《སྣར་》,གི་སྒྲོལ།
,,90,4,《པེ་》《སྣར་》,ནི།
,,91,5,《པེ》,བརྙེས།
,54,92,1,《པེ་》《སྣར་》,དང་།
,,93,2,《པེ་》《སྣར་》,སྔགས།
,,94,3,《པེ་》《སྣར་》,པའི།
,,95,4,《པེ་》《སྣར་》,བལྟས་ལྟ།
,,96,5,《པེ་》《སྣར་》,ལྟས།
,,97,6,《པེ་》《སྣར་》,གིས།
,,98,7,《པེ་》《སྣར་》,སྦྱངས་པའི།
,,99,8,《སྣར་》,ཐུང་།
,,100,9,《པེ་》《སྣར་》,ཧྲི།
,,101,10,《པེ་》《སྣར་》,སརྦ།
,,102,11,《པེ་》《སྣར་》,སརྦ།
,,103,12,《པེ་》《སྣར་》,སྱཾ་ཤོདྷ་ཡཱ།
,,104,13,《པེ་》《སྣར་》,ཀལ་པཾ།
,,105,14,《པེ་》《སྣར་》,བཞུག
,,106,15,《པེ་》《སྣར་》,དུཾ་བ།
,,107,16,《པེ་》《སྣར་》,mན།
,,108,17,《པེ་》《སྣར་》,pཡིན།
,55,109,1,《པེ་》《སྣར་》,བ།
,,110,2,《པེ་》《སྣར་》,བ་ཡིན།
,,111,3,《པེ་》《སྣར་》,ནས།
,,112,4,《པེ་》《སྣར་》,འཕངས།
,,113,5,《པེ་》《སྣར་》,གི།
,,114,6,《པེ་》《སྣར་》,ལས།
,,115,7,《པེ་》《སྣར་》,mཡོད་དང་མེད་ལས་རྣམ་པར་འདས།  །ཚུལ་ལ་གནས་ན་ཐོབ་པར་འགྱུར།།
,,116,8,《པེ་》《སྣར་》,སྐྱེད།
,46,117,1,《པེ་》《སྣར་》,བལྟས་ལྟའོ།
,,118,2,《པེ་》《སྣར་》,བལྟས།
,,119,3,《པེ་》《སྣར་》,བཟློས།
,,120,4,《པེ་》《སྣར་》,བཞག
,,121,5,《སྣར་》,བསྐུད།
,,122,6,《པེ་》《སྣར་》,བསླབ་པར།
,,123,7,《སྣར་》,pགི།
,,124,8,《པེ་》《སྣར་》,གིས།
,,125,9,《པེ་》《སྣར་》,ལྟས།
,,126,10,《པེ་》《སྣར་》,pཿ།
,,127,11,《པེ་》《སྣར་》,གི།
,,128,12,《པེ་》《སྣར་》,pཿ།
,,129,13,《པེ་》《སྣར་》,pཿ།
,,130,14,《པེ་》,mཿ།
,57,131,1,《པེ་》《སྣར་》,ཨཿ།
,,132,2,《པེ་》《སྣར་》,ཨཿ།
,,133,3,《པེ་》《སྣར་》,དྷརྨྨ།
,,134,4,《པེ་》《སྣར་》,དཔའ།
,,135,5,《པེ་》《སྣར་》,གྱི།
,,136,6,《པེ་》《སྣར་》,མ།
,,137,7,《པེ་》《སྣར་》,མཱ།
,58,138,1,《པེ་》《སྣར་》,དེ།
,,139,2,《པེ་》《སྣར་》,བརྒྱ།
,,140,3,《པེ་》《སྣར་》,།།  །།
,,141,4,《པེ་》《སྣར་》,པའི།
,,142,5,《སྣར་》,རང་།
,,143,6,《པེ་》《སྣར་》,ཀི།
,,144,7,《པེ་》《སྣར་》,mསརྦ་བིགྷྣཱཾ།
,,145,8,《པེ་》《སྣར་》,སའི།
,,146,9,《པེ་》《སྣར་》,སྟེ།
,,147,10,《པེ་》《སྣར་》,mཉེ་འཁོར་གྱི།
,59,148,1,《པེ་》《སྣར་》,ཧཱི།
,,149,2,《པེ་》《སྣར་》,བཏབ།
,,150,3,《པེ་》《སྣར་》,སྟང་སྟབས།
,,151,4,《པེ་》《སྣར་》,གྱི།
,,152,5,《པེ་》《སྣར་》,mལ།
,,153,6,《པེ་》《སྣར་》,mདང་འགྲམ་གྱི་ཚོན་སྣ་ལྔ།
