མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
སྣ་ཚོགས་༼ངོ༽,1244,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད་ཅིང་། ཆོས་མཚན་འདི་《སྡེ་》《ཅོ་》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞི་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་ཡོད།,
,,3,2,《སྣར་》,དུ།,
,,4,3,《སྣར་》,གྱི།,
,1245,5,1,《སྣར་》,pའགྲུབ་པར།,
,,6,2,《སྣར་》,ཡི་ཕ་རོལ་ཀྱི་དཔུང་།,
,,7,3,《སྣར་》,pདགྲ་མང་ནའང་།,
,,8,4,《སྣར་》,pབྱེ་བ་ལ།,
,,9,5,《སྣར་》,སོམ།,
,,10,6,《སྣར་》,གེས།,
,,11,7,《སྣར་》,མི།,
,,12,8,《སྣར་》,འཐད།,
,,13,9,《སྣར་》,ཀྱི།,
,,14,10,《སྣར་》,འདུག,
,,15,11,《སྣར་》,གཤེད།,
,,16,12,《སྣར་》,འགྲུབ།,
,1246,17,1,《སྣར་》,pལོ།།,
,,18,2,《སྣར་》,ཐ།,
,,19,3,《སྣར་》,བརྟགས་གཞིགས།,
,,20,4,《སྣར་》,pསྔར།,
,,21,5,《སྣར་》,གྲུབ་བོ།,
,,22,6,《སྣར་》,ཀྱི།,
,,23,7,《སྣར་》,mན།,
,,24,8,《སྣར་》,pརྣམ་རྟོག་མ་བྱེད།,
,,25,9,《སྣར་》,བསམས་ཏེ།,
,,26,10,《སྣར་》,pམིང་།,
,,27,11,《སྣར་》,mགྱིས།,
,,28,12,《སྣར་》,འགའ།,
,,29,13,《སྣར་》,ཤོལ།,
,,30,14,《སྣར་》,ཤོལ།,
,,31,15,《སྣར་》,གཉིས།,
,,32,16,《སྣར་》,pན།,
,,33,17,《སྣར་》,pནོར།,
,,34,18,《སྣར་》,ཀྱི།,
,1247,35,1,《སྣར་》,བརྟན།,
,,36,2,《སྣར་》,འགོག,
,,37,3,《སྣར་》,མི་འགྲུབ།,
,,38,4,《སྣར་》,ཀྱི།,
,,39,5,《སྣར་》,བསམས།,
,,40,6,《སྣར་》,pཤིག,
,,41,7,《སྣར་》,བསམས།,
,,42,8,《སྣར་》,mཔར།,
,,43,9,《སྣར་》,བསམས།,
,,44,10,《སྣར་》,ཨ།,
,,45,11,《སྣར་》,དྲི་བ་པོ་ཉོན་ཅིག,
,,46,12,《སྣར་》,འཐོབ།,
,,47,13,《སྣར་》,འགྲུབ་ཀྱི།,
,1248,48,1,《སྣར་》,རྟས་བགྲོད།,
,,49,2,《སྣར་》,བགྲོད་ཐབས་མེད།,,
,,50,3,《སྣར་》,སྲིད།,,
,,51,4,《སྣར་》,pཔའི།,,
,,52,5,《སྣར་》,འོང་།,,
,,53,6,《སྣར་》,pལན།,,
,,54,7,《སྣར་》,pབཟང་།,,
,,55,8,《སྣར་》,pཡོན་ཏན།,,
,,56,9,《སྣར་》,ཤིག,,
,,57,10,《སྣར་》,mདོན་འགྲུབ་པའི།,,
,,58,11,《སྣར་》,pཔས།,,
,,59,12,《སྣར་》,གྱིས།,,
,,60,13,《སྣར་》,pའགྱུར།,,
,,61,14,《སྣར་》,བྱ་བ།,,
,,62,15,《སྣར་》,pགཅིག་ཏུ་མ་བྱེད་ཡང་ན་ག་ཤི་ག་དུ།,,
,,63,16,《སྣར་》,mཞིག,,
,,64,17,《སྣར་》,བར་མྱེད་པ་དང་སེམས་ཁྲལ།,,
,1249,65,1,《སྣར་》,pངོ་།,
,,66,2,《སྣར་》,གཟུང་ཞིག,
,,67,3,《སྣར་》,མཆོག,
,,68,4,《སྣར་》,ན།,
,,69,5,《སྣར་》,འགྲུབ།,
,,70,6,《སྣར་》,pནས།,
,1250,71,1,《སྣར་》,གི།,
,,72,2,《སྣར་》,ཀྱི།,
,,73,3,《སྣར་》,pཔའི།,
,,74,4,《སྣར་》,དུམ་བ།,
,,75,5,《སྣར་》,ཅུང་།,
,,76,6,《སྣར་》,mབསྔལ།,
,,77,7,《སྣར་》,ཀྱི།,
,,78,8,《སྣར་》,pཞིག་བསྒྲུབས་པ་ཐད།,
,,79,9,《སྣར་》,mན།,
,,80,10,《སྣར་》,འདི།,
,1251,81,1,《སྣར་》,pལས་ཆེ།,
,,82,2,《སྣར་》,ཀྱི།,
,,83,3,《སྣར་》,བསམས།,
,,84,4,《སྣར་》,འགྲུབ།,
,,85,5,《སྣར་》,pམ།,
,,86,6,《སྣར་》,མི་འགྲོ།,
,,87,7,《སྣར་》,འཇུག,
,,88,8,《སྣར་》,ནའང་།,
,,89,9,《སྣར་》,ཀྱི།,
,,90,10,《སྣར་》,ཕྱིད་ཀྱི་ཡོན་ཏན་ཕུན་ཚོགས་སྐྱེ་རྒྱལ་ཞིང་།,
,,91,11,《སྣར་》,དང་།,
,,92,12,《སྣར་》,གེགས།,
,1252,93,1,《སྣར་》,ཝ།,
,,94,2,《སྣར་》,pབྱེད་ཀྱིན།,
,,95,3,《སྣར་》,pབདེན་རྫུན།,
,,96,4,《སྣར་》,གྱི།,
,,97,5,《སྣར་》,མཐུ་ལས།,
,1253,98,1,《སྣར་》,བྱེད།,
,,99,2,《སྣར་》,pཡ།,
,,100,3,《སྣར་》,mཁོ།,
,,101,4,《སྣར་》,ལ།,
,,102,5,《སྣར་》,བ།,
,,103,6,《སྣར་》,pབ།,
,,104,7,《སྣར་》,སྡོང་རས།,
,,105,8,《སྣར་》,མེ་མི།,
,,106,9,《སྣར་》,ཏེ།,
,1254,107,1,《སྣར་》,སྐྱེད།,
,,108,2,《སྣར་》,བས་ན།,
,,109,3,《སྣར་》,བསམས།,
,,110,4,《སྣར་》,འདུག,
,,111,5,《སྣར་》,pབཟང་པོར།,
,,112,6,《སྣར་》,ཀྱི།,
,,113,7,《སྣར་》,pབུའི།,
,,114,8,《སྣར་》,ཐོབ།,
,,115,9,《སྣར་》,pཞིག,
,,116,10,《སྣར་》,དགོས།,
,,117,11,《སྣར་》,དང་།,
,,118,12,《སྣར་》,སྟོན་པའང་།,
,1255,119,1,《སྣར་》,གང་འདྲི།,
,,120,2,《སྣར་》,mསྟེ།,
,,121,3,《སྣར་》,དོན་འདི་ནི་འགྲུབ།,
