མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,91,3,《པེ་》,གྱིས།,,,,,,
,,92,4,《པེ་》《སྣར་》,དག,,,,,,
,,93,5,《པེ་》《སྣར་》,བཅོམ།,,,,,,
,,94,6,《པེ་》,mཔ་ཡིན།,,,,,,
,,95,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,96,8,《པེ་》《སྣར་》,བྱ་བའི།,,,,,,
,368,97,1,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,98,2,《པེ་》《སྣར་》,རྩམ།,,,,,,
,,99,3,《པེ་》《སྣར་》,སྟོང་པ།,,,,,,
,,100,4,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,101,5,《པེ་》《སྣར་》,རྟོག,,,,,,
,369,102,1,《པེ་》《སྣར་》,mདོན་དུ།,,,,,,
,,103,2,《པེ་》《སྣར་》,བ།,,,,,,
,,104,3,《སྣར་》,mནི།,,,,,,
,,105,4,《པེ་》《སྣར་》,སྒྲ་གསལ།,,,,,,
,370,106,1,《པེ་》《སྣར་》,ནོ།།,,,,,,
,,107,2,《པེ་》《སྣར་》,པ།,,,,,,
,,108,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,109,4,《པེ་》《སྣར་》,རྩོམ།,,,,,,
,,110,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,111,6,《པེ་》《སྣར་》,mབྱས་པར།,,,,,,
,,112,7,《སྣར་》,mཁོ་ན་ཡིན་ནོ། ། བདེ་བླག་ཏུ་རྟོགས་པ།,,,,,,
,371,113,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,114,2,《པེ་》《སྣར་》,ལོན།,,,,,,
,,115,3,《པེ་》《སྣར་》,pནི།,,,,,,
,,116,4,《པེ་》《སྣར་》,mབ།,,,,,,
,,117,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,118,6,《པེ་》《སྣར་》,པ།,,,,,,
,,119,7,《པེ་》《སྣར་》,པར།,,,,,,
,,120,8,《པེ་》《སྣར་》,mཙམ།,,,,,,
,,121,9,《པེ་》,ཤིན།,,,,,,
,372,122,1,《པེ་》《སྣར་》,mགང་།,,,,,,
,,123,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,124,3,《པེ་》,པར།,,,,,,
,,125,4,《པེ་》《སྣར་》,pཉིད།,,,,,,
,373,126,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,127,2,《པེ་》《སྣར་》,mབརྗོད་པར།,,,,,,
,,128,3,《པེ་》《སྣར་》,pརོ།།,,,,,,
,,129,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,130,5,《པེ་》《སྣར་》,mབརྗོད་པ།,,,,,,
,,131,6,《སྣར་》,ལོགས།,,,,,,
,,132,7,《པེ་》《སྣར་》,གཟུང་བ་ལ།,,,,,,
,,133,8,《སྣར་》,བསམས།,,,,,,
,,134,9,《པེ་》《སྣར་》,mཚེ།,,,,,,
,374,135,1,《པེ་》《སྣར་》,པ།,,,,,,
,,136,2,《པེ་》《སྣར་》,གསུང་བ།,,,,,,
,,137,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,138,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,139,5,《པེ་》《སྣར་》,བསྡུས་པའི།,,,,,,
,,140,6,《པེ་》,པ།,,,,,,
,,141,7,《པེ་》《སྣར་》,pབ།,,,,,,
,,142,8,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,143,9,《པེ་》《སྣར་》,pརྟེན།,,,,,,
,,144,10,《པེ་》《སྣར་》,སྤོངས་པ།,,,,,,
,,145,11,《པེ་》《སྣར་》,ཀྲེ།,,,,,,
,,146,12,《པེ་》,བྱུང་བས།;《སྣར་》,འབྱུང་བས།,,,,,
,375,147,1,《སྣར་》,mམ།,,,,,,
,,148,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,149,3,《པེ་》《སྣར་》,ཕྱི།,,,,,,
,,150,4,《པེ་》,གི།,,,,,,
,,151,5,《པེ་》,ནས།,,,,,,
,,152,6,《པེ་》《སྣར་》,པས་བཟུང་།,,,,,,
,,153,7,《པེ་》《སྣར་》,སྤོངས།,,,,,,
,,154,8,《པེ་》《སྣར་》,རགས།,,,,,,
,,155,9,《པེ་》,mཅི།,,,,,,
,376,156,1,《པེ་》《སྣར་》,བཅིང་བ།,,,,,,
,,157,2,《པེ་》《སྣར་》,mདང་།,,,,,,
,,158,3,《པེ་》《སྣར་》,mཔ་ཡང་དག,,,,,,
,,159,4,《སྣར་》,ནས།,,,,,,
,377,160,1,《པེ་》《སྣར་》,བཟླས།,,,,,,
,,161,2,《པེ་》《སྣར་》,རྟག,,,,,,
,,162,3,《སྣར་》,རྣམ།,,,,,,
,,163,4,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,164,5,《པེ་》《སྣར་》,གིས།,,,,,,
,,165,6,《སྣར་》,mདེ།,,,,,,
,378,166,1,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,167,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,168,3,《སྣར་》,བརྟགས།,,,,,,
,,169,4,《པེ་》《སྣར་》,རྒྱུད།,,,,,,
,,170,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,379,171,1,《པེ་》《སྣར་》,བསལ།,,,,,,
,,172,2,《པེ་》《སྣར་》,ནས།,,,,,,
,,173,3,《པེ་》《སྣར་》,mམ།,,,,,,
,,174,4,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,175,5,《པེ་》《སྣར་》,པོའོ།,,,,,,
,,176,6,《པེ་》《སྣར་》,mདུ།,,,,,,
,,177,7,《པེ་》《སྣར་》,mདང་།,,,,,,
