མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,108,2,《པེ་》《སྣར་》,གཟུང་།,
,,109,3,《པེ་》《སྣར་》,པར།,
,,110,4,《པེ་》《སྣར་》,དེ།,
,,111,5,《པེ་》《སྣར་》,གྲངས།,
,,112,6,《པེ་》《སྣར་》,ཀྱིས།,
,,113,7,《པེ་》《སྣར་》,ཤེས།,
,,114,8,《པེ་》《སྣར་》,mརྣམ།,
,95,115,1,《པེ་》《སྣར་》,mཔ།,
,,116,2,《པེ་》,མཐར།,《སྣར་》,ཐར།
,,117,3,《པེ་》《སྣར་》,mཡིན།,
,,118,4,《པེ་》,འཇིགས།,
,,119,5,《པེ་》《སྣར་》,སླངས།,
,,120,6,《པེ་》《སྣར་》,སློངས།,
,,121,7,《སྣར་》,རྩྭ།,
,,122,8,《སྣར་》,ཚིགས།,
,,123,9,《པེ་》《སྣར་》,ཚིགས།,
,96,124,1,《པེ་》《སྣར་》,བསྒྱུར།,
,,125,2,《པེ་》《སྣར་》,ན།,
,,126,3,《པེ་》《སྣར་》,ཡིད།,
,,127,4,《པེ་》《སྣར་》,mགྱི།,
,,128,5,《པེ་》《སྣར་》,mཔོ།,
,,129,6,《པེ་》《སྣར་》,ཟས།,
,97,130,1,《པེ་》《སྣར་》,མ་བཟུང་།,
,,131,2,《པེ་》《སྣར་》,དེ།,
,,132,3,《པེ་》《སྣར་》,ཤེས།,
,,133,4,《པེ་》《སྣར་》,mལ།,
,,134,5,《པེ་》《སྣར་》,པ།,
,,135,6,《པེ་》《སྣར་》,ལྷགས།,
,,136,7,《པེ་》《སྣར་》,པཱ།,
,,137,8,《པེ་》,གཞི།,
,98,138,1,《པེ་》《སྣར་》,ཡིད།,
,,139,2,《པེ་》《སྣར་》,mལ་ནི།,
,,140,3,《པེ་》《སྣར་》,mམ།,
,99,141,1,《སྣར་》,ཀྱི་སྙེད།,
,,142,2,《པེ་》《སྣར་》,རྣམ་ཤེས།,
,,143,3,《པེ་》《སྣར་》,mལྟ་བུ།,
,,144,4,《པེ་》《སྣར་》,སྤོང་བ།,
,,145,5,《པེ་》《སྣར་》,གནོན།,
,,146,6,《པེ་》《སྣར་》,mལ།,
,,147,7,《པེ་》《སྣར་》,mའདོད་པ་རྣམས་ལ།,
,,148,8,《པེ་》《སྣར་》,སྤོང་།,
,,149,9,《པེ་》,བསྲུངས་པས།,《སྣར་》,བསྲུང་བས།
,100,150,1,《པེ་》《སྣར་》,mའབྲེལ་པར།,
,,151,2,《པེ་》《སྣར་》,གྱི།,
,,152,3,《པེ་》《སྣར་》,པའི།,
,,153,4,《པེ་》《སྣར་》,སྒྲུབ་བྱེད་ལ།,
,,154,5,《པེ་》《སྣར་》,གྱིས།,
,,155,6,《པེ་》《སྣར་》,mཔ།,
,,156,7,《པེ་》《སྣར་》,ལ།,
,101,157,1,《པེ་》《སྣར་》,mདག,
,,158,2,《པེ་》,བསོད།,
,,159,3,《པེ་》《སྣར་》,གསུང་བ།,
,,160,4,《པེ་》《སྣར་》,ན།,
,,161,5,《པེ་》《སྣར་》,འཇོགས།,
,,162,6,《པེ་》《སྣར་》,ཆེ།,
,102,163,1,《པེ་》《སྣར་》,རིག,
,,164,2,《པེ་》《སྣར་》,བརྗོད།,
,,165,3,《པེ་》《སྣར་》,ཤེས།,
