མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,1723,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐུད་དུ་སྨོས་པ་ལྟར་བཀོད། ,
,,3,2,《པེ་》《སྣར་》,སྱཱཥྚ།,
,,4,3,《པེ་》,ཧཱ་ཧཱ་ཊྚ་ཊྚ།,《སྣར་》,ཧཱ་ཧཱ་ཊྚཱ་ཊྚ།
,,5,4,《པེ་》《སྣར་》,༼སྒྲ་ཡིས།,
,,6,5,《པེ་》《སྣར་》,པ།,
,,7,6,《པེ་》《སྣར་》,མཆུ།,
,,8,7,《པེ་》《སྣར་》,༼ཁྭ།,
,,9,8,《པེ་》《སྣར་》,རྨ་ར་ཆེར།,
,,10,9,《པེ་》《སྣར་》,དམར།,
,,11,10,《པེ་》《སྣར་》,སྒྱུར།,
,1724,12,1,《པེ་》《སྣར་》,ཀི་ལི་ཀི།,
,,13,2,《པེ་》《སྣར་》,དེ་འཐུང་བ།,
,,14,3,《པེ་》《སྣར་》,པ། །ཌཾ་ཌཾ་ཌཾ།,
,,15,4,《པེ་》《སྣར་》,མཛད།,
,,16,5,《པེ་》《སྣར་》,ཀྵཱིཾ་ཀྵཱིཾ་ཀྵཱིཾ།,
,,17,6,《པེ་》《སྣར་》,གཟུགས།,,
,,18,7,《པེ་》《སྣར་》,གཟུང་།,,
,,19,8,《པེ་》《སྣར་》,བསྣན་ཅིང་བསྣན་ནས་ཀ་ཧ་ཀ་ཧ།,,
,,20,9,《པེ་》《སྣར་》,མ་སྦྲེལ།,,
,,21,10,《པེ་》《སྣར་》,ཕྲེང་བས།,,
,,22,11,《པེ་》《སྣར་》,ཆགས།,,
,,23,12,《པེ་》《སྣར་》,གཟུང་།,,
,,24,13,《པེ་》《སྣར་》,བོ།,,
,,25,14,《པེ་》《སྣར་》,ཀྵུཾ་ཤྟིཾ།,,
,,26,15,《པེ་》《སྣར་》,ས།,,
,,27,16,《པེ་》《སྣར་》,བསྲུང་བར་མཛོད།,,
,,28,17,《པེ་》《སྣར་》,པས།,,
,,29,18,《པེ་》,གཞུགས།,,
,,30,19,《པེ་》《སྣར་》,སྐྱོད་པར།,,
,,31,20,《པེ་》《སྣར་》,ཀྱིས།,,
,,32,21,《པེ་》《སྣར་》,༼ཅིག,,
,,33,22,《པེ་》《སྣར་》,མཉེས།,
,,34,23,《པེ་》《སྣར་》,ཀྲཾ་ཀྲཾ་ཀྲཾ།,
,1725,35,1,《པེ་》《སྣར་》,དམ་ཚིག་ཐོགས།,
,,36,2,《པེ་》《སྣར་》,ཁྲོ།,
,,37,3,《པེ་》《སྣར་》,ཀླཱྃ་ཀླཱྃ་ཀླཱྃ།,
,,38,4,《པེ་》《སྣར་》,༽ཀྵཾ་ཀྵཾ་ཀྵཾ་ཞེས་ཕན་པར་མཛད་ཅིང་གནོད་པ་སྐད་ཅིག་གིས་སེལ་ཞིང་སྐྱོང་ཁྱོད་ཀྱིས་སྐྱོངས།།,
,,39,5,《པེ་》《སྣར་》,ཀྱིས།,
,,40,6,《པེ་》《སྣར་》,བློ་གྲོས་འབྲས་བུ།,
,,41,7,《པེ་》《སྣར་》,གང་།,
,,42,8,《པེ་》《སྣར་》,༽ཐོས་འཛིན།,
,,43,9,《པེ་》《སྣར་》,གྱུར་པ་དག,
,,44,10,《པེ་》《སྣར་》,གསུམ་དུ།,
,,45,11,《པེ་》《སྣར་》,འགྱུར་བ།,
,,46,12,《པེ་》《སྣར་》,མེད་སྟེར།,
,,47,13,《པེ་》《སྣར་》,སྔ།,
,,48,14,《པེ་》《སྣར་》,ཀོ་ས་ལའི་རྣལ་འབྱོར་པ་ཤྲི།,
,,49,15,《པེ་》《སྣར་》,ཙ།,,
,,50,16,《པེ་》《སྣར་》,དིང་།,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
