མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,86,7,《པེ་》《སྣར་》,ནི།,,,,,,
,,87,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,88,9,《སྣར་》,ལེགས།,,,,,,
,16,89,1,《པེ་》《སྣར་》,ཅིག,,,,,,
,,90,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,91,3,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,92,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,17,93,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,94,2,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,95,3,《པེ་》《སྣར་》,གཱརྫུ།,,,,,,
,,96,4,《ཅོ་》,ཕ།,,,,,,
,,97,5,《པེ་》《སྣར་》,གི།,,,,,,
,,98,6,《པེ་》《སྣར་》,བས།,,,,,,
,18,99,1,《པེ་》《སྣར་》,mདེས།,,,,,,
,,100,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,101,3,《པེ་》《སྣར་》,pབཞིན།,,,,,,
,,102,4,《པེ་》《སྣར་》,pརོ།།,,,,,,
,,103,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,19,104,1,《པེ་》《སྣར་》,པ།,,,,,,
,,105,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,106,3,《པེ་》《སྣར་》,mདོ།,,,,,,
,,107,4,《པེ་》《སྣར་》,དེ།,,,,,,
,20,108,1,《པེ་》《སྣར་》,བལྟོས།,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་72ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,109,2,《པེ་》《སྣར་》,ཅིག,,,,,,
,,110,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,111,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,112,5,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,21,113,1,《པེ་》《སྣར་》,ཟབ།,,,,,,
,,114,2,《པེ་》《སྣར་》,མདལ།,,,,,,
,,115,3,《པེ་》《སྣར་》,དེ།,,,,,,
,22,116,1,《སྣར་》,སྐོར།,,,,,,
,,117,2,《པེ་》《སྣར་》,སྐོར།,,,,,,
,,118,3,《པེ་》《སྣར་》,པ།,,,,,,
,,119,4,《པེ་》《སྣར་》,པས།,,,,,,
,,120,5,《པེ་》《སྣར་》,གཙང་།,,,,,,
,,121,6,《པེ་》《སྣར་》,གི།,,,,,,
,,122,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,23,123,1,《པེ་》,mཔ།,,,,,,
,,124,2,《པེ་》《སྣར་》,བ།,,,,,,
,,125,3,《ཅོ་》,ལས།,,,,,,
,,126,4,《སྣར་》,mདུ།,,,,,,
,24,127,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,128,2,《པེ་》《སྣར་》,པ།,,,,,,
,,129,3,《པེ་》《སྣར་》,གཙང་།,,,,,,
,,130,4,《པེ་》《སྣར་》,པ།,,,,,,
,25,131,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,132,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,133,3,《པེ་》《སྣར་》,ཞེའོ།,,,,,,
,,134,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,135,5,《པེ་》《སྣར་》,pགསུང་བར།,,,,,,
,26,136,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,137,2,《པེ་》《སྣར་》,mཔ།,,,,,,
