མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,714,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,715,6,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,716,7,《པེ་》,pབ།,,,,,,
,,717,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,114,718,1,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,719,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,720,3,《པེ་》,རྗེད།;《སྣར་》,རྗེས།,,,,,
,,721,4,《སྣར་》,དྷེ།,,,,,,
,,722,5,《པེ་》《སྣར་》,pབ།,,,,,,
,,723,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,724,7,《པེ་》《སྣར་》,རྒྱུད།,,,,,,
,,725,8,《པེ་》《སྣར་》,གི།,,,,,,
,115,726,1,《པེ་》,mརོ།།,,,,,,
,,727,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,728,3,《ཅོ་》,གཏང་།,,,,,,
,116,729,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,730,2,《པེ་》《སྣར་》,mན།,,,,,,
,,731,3,《པེ་》《སྣར་》,སྤང་བ།,,,,,,
,,732,4,《པེ་》《སྣར་》,བའི།,,,,,,
,,733,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,117,734,1,《པེ་》,pབཞི།,,,,,,
,,735,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,736,3,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,737,4,《པེ་》,ཉིད་དེ།,,,,,,
,,738,5,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,739,6,《པེ་》《སྣར་》,པོ།,,,,,,
,118,740,1,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,741,2,《པེ་》《སྣར་》,ནས།,,,,,,
,,742,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,743,4,《པེ་》《སྣར་》,ནས།,,,,,,
,,744,5,《པེ་》《སྣར་》,བཅད།,,,,,,
,119,745,1,《པེ་》《སྣར་》,བཞི།,,,,,,
,,746,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,747,3,《པེ་》《སྣར་》,pཕྱིར།,,,,,,
,,748,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,749,5,《པེ་》《སྣར་》,གི།,,,,,,
,,750,6,《ཅོ་》,བླང་བའི།,,,,,,
,,751,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,752,8,《པེ་》《སྣར་》,གི།,,,,,,
,120,753,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,754,2,《པེ་》《སྣར་》,གྱིས་བརླབས་ཀྱི།,,,,,,
,,755,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,756,4,《པེ་》《སྣར་》,གི།,,,,,,
,,757,5,《པེ་》《སྣར་》,ཡང་།,,,,,,
,,758,6,《པེ་》《སྣར་》,pརོ།།,,,,,,
,121,759,1,《སྣར་》,བསྐྱེས།,,,,,,
,,760,2,《པེ་》《སྣར་》,གསུངས་པར།,,,,,,
,,761,3,《པེ་》《སྣར་》,ཅི།,,,,,,
,122,762,1,《པེ་》《སྣར་》,ཞེ།,,,,,,
,,763,2,《པེ་》《སྣར་》,pན།,,,,,,
,,764,3,《པེ་》《སྣར་》,བརྒྱད།,,,,,,
,,765,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,766,5,《པེ་》《སྣར་》,mཀྱང་།,,,,,,
,123,767,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,768,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,769,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,124,770,1,《པེ་》《སྣར་》,pཤེས་པ།,,,,,,
,,771,2,《པེ་》《སྣར་》,mབའོ།,,,,,,
,,772,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,773,4,《པེ་》《སྣར་》,པོ།,,,,,,
,,774,5,《པེ་》《སྣར་》,ལནྟ།,,,,,,
,,775,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,125,776,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,777,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,778,3,《པེ་》《སྣར་》,པས།,,,,,,
,,779,4,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,,780,5,《པེ་》《སྣར་》,གིས།,,,,,,
,126,781,1,《པེ་》《སྣར་》,པ།,,,,,,
,127,782,1,《པེ་》《སྣར་》,pནི།,,,,,,
,,783,2,《པེ་》《སྣར་》,བཀོད།,,,,,,
,,784,3,《པེ་》《སྣར་》,pགྱིས།,,,,,,
,,785,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,786,5,《པེ་》《སྣར་》,དཱུརྱ།,,,,,,
,128,787,1,《པེ་》《སྣར་》,དཱུརྱ།,,,,,,
,,788,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,789,3,《པེ་》《སྣར་》,ལ།,,,,,,
,129,790,1,《པེ་》《སྣར་》,མངག།,,,,,,
,,791,2,《པེ་》《སྣར་》,pནི།,,,,,,
,,792,3,《སྣར་》,mཆེ།,,,,,,
,,793,4,《པེ་》《སྣར་》,ལ་བྱུང་།,,,,,,
,,794,5,《པེ་》《སྣར་》,pབ།,,,,,,
,,795,6,《སྣར་》,mཔ།,,,,,,
,,796,7,《པེ་》《སྣར་》,དཱུརྱ།,,,,,,
,130,797,1,《སྣར་》,ཚིག་ནི།,,,,,,
,,798,2,《པེ་》《སྣར་》,pདུ།,,,,,,
,,799,3,《སྣར་》,གྱིས།;《ཅོ་》,གྱི།,,,,,
,,800,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,801,5,《པེ་》《སྣར་》,གྱི།,,,,,,
,,802,6,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,803,7,《སྣར་》,ཀྱི།,,,,,,
,,804,8,《པེ་》,mལྟ་བུའོ།།,,,,,,
,,805,9,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,131,806,1,《པེ་》,པའོ།,,,,,,
,,807,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,808,3,《པེ་》《སྣར་》,mལས།,,,,,,
,,809,4,《པེ་》,mཔ།,,,,,,
,132,810,1,《པེ་》《སྣར་》,mལས་ཀྱི།,,,,,,
,,811,2,《པེ་》《སྣར་》,ཡོད་དེ།;《ཅོ་》,ཡང་ཡོད་དོ།།,,,,,
,,812,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,813,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,814,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,815,6,《པེ་》,ཅིག་གིས།;《སྣར་》,དོག་གིས།,,,,,
,,816,7,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,133,817,1,《པེ་》,སྐད།,,,,,,
,,818,2,《པེ་》,ན།;《སྣར་》,mབུ།,,,,,
,,819,3,《པེ་》,དེ།;《སྣར་》,mདོ།,,,,,
,,820,4,《སྣར་》,ཀྱིས།,,,,,,
,134,821,1,《པེ་》《སྣར་》,ལན།,,,,,,
,,822,2,《པེ་》《སྣར་》,གི།,,,,,,
,,823,3,《པེ་》《སྣར་》,དོ།།,,,,,,
,135,824,1,《པེ་》《སྣར་》,pཡིན།,,,,,,
,,825,2,《པེ་》《སྣར་》,mཆོས།,,,,,,
,,826,3,《པེ་》《སྣར་》,བསྡུས།,,,,,,
,136,827,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,828,2,《པེ་》《སྣར་》,pནི།,,,,,,
,,829,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,830,4,《པེ་》《སྣར་》,བ།,,,,,,
,,831,5,《པེ་》《སྣར་》,གྱི།,,,,,,
,137,832,1,《སྣར་》,བསྒྲུབས།,,,,,,
,,833,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,834,3,《སྣར་》,ཀྱིས།,,,,,,
,,835,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,138,836,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,837,2,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,838,3,《སྣར་》,mདོ།,,,,,,
,,839,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,840,5,《པེ་》《སྣར་》,སྲེད་པ་བདག,,,,,,
,,841,6,《པེ་》《སྣར་》,རྟས།,,,,,,
,139,842,1,《པེ་》《སྣར་》,གིས།,,,,,,
,140,843,1,《སྣར་》,དེ།,,,,,,
,,844,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,845,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,846,4,《པེ་》《སྣར་》,ནམ།,,,,,,
,141,847,1,《པེ་》,སྒྱུར།,,,,,,
,,848,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,849,3,《པེ་》《སྣར་》,mརྫོགས།,,,,,,
,,850,4,《ཅོ་》,གཏགས།,,,,,,
,142,851,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,852,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,853,3,《པེ་》,པས།,,,,,,
,143,854,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,855,2,《པེ་》《སྣར་》,mརང་གི།,,,,,,
,,856,3,《པེ་》《སྣར་》,ཅིག,,,,,,
,,857,4,《པེ་》《སྣར་》,པའམ།,,,,,,
,144,858,1,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,859,2,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,860,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,145,861,1,《པེ་》《སྣར་》,འོངས་ནས།,,,,,,
,,862,2,《པེ་》《སྣར་》,pཁང་།,,,,,,
,,863,3,《པེ་》《སྣར་》,བྱའོ།།,,,,,,
,,864,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,865,5,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,866,6,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,867,7,《པེ་》《སྣར་》,mསྤྱོད་པ།,,,,,,
,,868,8,《པེ་》《སྣར་》,ཕྱེད།,,,,,,
,146,869,1,《སྣར་》,pལྔ།,,,,,,
,,870,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,871,3,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,872,4,《པེ་》《སྣར་》,གི།,,,,,,
,,873,5,《པེ་》《སྣར་》,པོ་ནི།,,,,,,
,147,874,1,《པེ་》《སྣར་》,pདོ།།,,,,,,
,,875,2,《ཅོ་》,བཞུགས།,,,,,,
,,876,3,《སྣར་》,mཔ།,,,,,,
,,877,4,《སྣར་》,ཅིག,,,,,,
,,878,5,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,879,6,《པེ་》《སྣར་》,pདང་།,,,,,,
,,880,7,《པེ་》《སྣར་》,མདབ།,,,,,,
,,881,8,《པེ་》《སྣར་》,མདབ།,,,,,,
,,882,9,《པེ་》《སྣར་》,མདབ།,,,,,,
,,883,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,884,11,《པེ་》《སྣར་》,མདབ།,,,,,,
,148,885,1,《པེ་》《སྣར་》,མདབ།,,,,,,
,,886,2,《པེ་》《སྣར་》,མདབ།,,,,,,
,,887,3,《པེ་》《སྣར་》,མོའོ།།,,,,,,
,,888,4,《པེ་》《སྣར་》,མདབ།,,,,,,
,,889,5,《པེ་》《སྣར་》,མདབ།,,,,,,
,,890,6,《པེ་》《སྣར་》,གི།,,,,,,
,,891,7,《པེ་》,ཞིག,,,,,,
,,892,8,《པེ་》《སྣར་》,ཞིག,,,,,,
,,893,9,《པེ་》《སྣར་》,ཞིག,,,,,,
,,894,10,《པེ་》《སྣར་》,པ་མདབ།,,,,,,
,149,895,1,《པེ་》《སྣར་》,བརྙེད།,,,,,,
,,896,2,《པེ་》《སྣར་》,ཉེར།,,,,,,
,,897,3,《པེ་》《སྣར་》,pནི།,,,,,,
,,898,4,《པེ་》《སྣར་》,མའི།,,,,,,
,,899,5,《པེ་》《སྣར་》,པོས།,,,,,,
,,900,6,《པེ་》《སྣར་》,པོས།,,,,,,
,,901,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,902,8,《པེ་》《སྣར་》,mསོ་ཞེས།,,,,,,
,,903,9,《སྣར་》,mདེ།,,,,,,
,150,904,1,《པེ་》《སྣར་》,pཞེས་བྱའོ།།,,,,,,
,,905,2,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,906,3,《པེ་》《སྣར་》,ཆོག,,,,,,
,,907,4,《པེ་》《སྣར་》,པས།,,,,,,
,151,908,1,《པེ་》《སྣར་》,pབྱེད་པ།,,,,,,
,,909,2,《པེ་》《སྣར་》,ཐབ།,,,,,,
,,910,3,《པེ་》《སྣར་》,བས།,,,,,,
,,911,4,《པེ་》,དེའི།,,,,,,
,,912,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,913,6,《པེ་》,པའི།,,,,,,
,152,914,1,《པེ་》《སྣར་》,mམི།,,,,,,
,,915,2,《པེ་》《སྣར་》,པར།,,,,,,
,,916,3,《པེ་》《སྣར་》,བས་བསྟན།,,,,,,
,,917,4,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,918,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,153,919,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,920,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,921,3,《སྣར་》,mཔ།,,,,,,
,,922,4,《པེ་》《སྣར་》,པར།,,,,,,
,,923,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,924,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,925,7,《པེ་》《སྣར་》,དེ།,,,,,,
,,926,8,《པེ་》《སྣར་》,དོ།།,,,,,,
,154,927,1,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,928,2,《པེ་》《སྣར་》,pགཞན་ཡང་སྡིག་པ་དང་བྲལ་བ་ནི་དོན་ཞེས་བྱའོ། །དགེ་བ་བསྡུད་པ་ནི་ཕན་པ་ཞེས་བྱའོ།།,,,,,,
,155,929,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,930,2,《པེ་》《སྣར་》,པ།,,,,,,
,,931,3,《པེ་》《སྣར་》,དེ།,,,,,,
,,932,4,《ཅོ་》,འགལ་བ།,,,,,,
,156,933,1,《པེ་》《སྣར་》,བྱའོ།།,,,,,,
,,934,2,《པེ་》,pཀྱི།,,,,,,
,157,935,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,158,936,1,《པེ་》《སྣར་》,དེས།,,,,,,
,,937,2,《པེ་》,རྣམ་པ་གསུམ་གྱིས་བརྒྱུས།;《སྣར་》,རྣམ་པ་གསུམ་གྱིས་རྒྱུས།,,,,,
,,938,3,《པེ་》《སྣར་》,ན།,,,,,,
,159,939,1,《པེ་》《སྣར་》,གི།,,,,,,
,,940,2,《པེ་》《སྣར་》,pཉིད།,,,,,,
,160,941,1,《པེ་》,གསུམ།,,,,,,
,,942,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,161,943,1,《པེ་》《སྣར་》,pརྣ།,,,,,,
,,944,2,《པེ་》,ཏེ།,,,,,,
,,945,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,946,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,947,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,948,6,《པེ་》《སྣར་》,mསོ།,,,,,,
,,949,7,《པེ་》《སྣར་》,གི།,,,,,,
,,950,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,,951,9,《པེ་》《སྣར་》,བཞི།,,,,,,
,162,952,1,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,953,2,《པེ་》《སྣར་》,སྒྱུར།,,,,,,
,,954,3,《པེ་》《སྣར་》,སྒྱུར།,,,,,,
,,955,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,956,5,《པེ་》《སྣར་》,ཅིག,,,,,,
,163,957,1,《སྣར་》,པ།,,,,,,
,,958,2,《སྣར་》,མངའི།,,,,,,
,164,959,1,《པེ་》《སྣར་》,དང་།,,,,,,
,,960,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,961,3,《པེ་》《སྣར་》,mབ།,,,,,,
,165,962,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,963,2,《པེ་》《སྣར་》,mགི།,,,,,,
,,964,3,《སྣར་》,mདེ།,,,,,,
,166,965,1,《པེ་》《སྣར་》,pམེད་པའི་མཚན་ཉིད།,,,,,,
,167,966,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,967,2,《པེ་》,ཀྱི།,,,,,,
,,968,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,969,4,《སྣར་》,བཞག,,,,,,
,,970,5,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,971,6,《སྣར་》,mདེ།,,,,,,
,,972,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,168,973,1,《པེ་》《སྣར་》,བའོ།,,,,,,
,,974,2,《པེ་》《སྣར་》,mབའི།,,,,,,
,,975,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,976,4,《པེ་》《སྣར་》,ལ།,,,,,,
,169,977,1,《པེ་》《སྣར་》,pརོ།,,,,,,
,,978,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,979,3,《སྣར་》,ཐོག་པ།;《ཅོ་》,ཐོགས་མ།,,,,,
,,980,4,《པེ་》《སྣར་》,ཡོད།,,,,,,
,,981,5,《པེ་》《སྣར་》,ན།,,,,,,
,,982,6,《པེ་》《སྣར་》,རྣམ།,,,,,,
,170,983,1,《པེ་》,བློ་བུར་གྱི།;《ཅོ་》,གློ་བུར་གྱིས།,,,,,
,,984,2,《པེ་》《སྣར་》,པར།,,,,,,
,,985,3,《པེ་》《སྣར་》,བ།,,,,,,
,171,986,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,987,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,988,3,《པེ་》《སྣར་》,སྒྲིམས།,,,,,,
,,989,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,990,5,《སྣར་》,mནི།,,,,,,
,172,991,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,992,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,993,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,994,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,173,995,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,996,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,997,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,174,998,1,《སྣར་》,པའི།,,,,,,
,,999,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1000,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1001,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1002,5,《པེ་》《སྣར་》,pབསྟན།,,,,,,
,,1003,6,《པེ་》《སྣར་》,བཟློགས་སོ།,,,,,,
,,1004,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,175,1005,1,《སྣར་》,རྟགས།,,,,,,
,,1006,2,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,1007,3,《པེ་》《སྣར་》,འཕྲོགས།,,,,,,
,,1008,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1009,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,176,1010,1,《པེ་》《སྣར་》,གི།,,,,,,
,177,1011,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1012,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,1013,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1014,4,《པེ་》《སྣར་》,པའི།,,,,,,
,178,1015,1,《པེ་》《སྣར་》,ཏོ། །འདིར།,,,,,,
,,1016,2,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,1017,3,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,1018,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,1019,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,179,1020,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1021,2,《པེ་》《སྣར་》,ལས།,,,,,,
,180,1022,1,《པེ་》,ཀྱི།;《སྣར་》,མེད་ཀྱི།,,,,,
,,1023,2,《སྣར་》,འགྲེལ།,,,,,
,,1024,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,181,1025,1,《སྣར་》,ཕྱག,,,,,,
,,1026,2,《སྣར་》,ཕྱག,,,,,,
,,1027,3,《སྣར་》,དེས།,,,,,,
,,1028,4,《པེ་》《སྣར་》,འཕོངས།,,,,,,
,,1029,5,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1030,6,《སྣར་》,གསད།,,,,,,
,,1031,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,182,1032,1,《པེ་》《སྣར་》,pཕྱིར།,,,,,,
,,1033,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1034,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1035,4,《པེ་》《སྣར་》,རྟག,,,,,,
,,1036,5,《པེ་》《སྣར་》,པའོ།,,,,,,
,183,1037,1,《པེ་》《སྣར་》,རྟག,,,,,,
,,1038,2,《སྣར་》,ཀྱི།,,,,,,
,,1039,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,,1040,4,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,1041,5,《སྣར་》,pམ།,,,,,,
,,1042,6,《པེ་》《སྣར་》,མི།,,,,,,
,184,1043,1,《པེ་》《སྣར་》,པ།,,,,,,
,,1044,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1045,3,《པེ་》《སྣར་》,བའི།,,,,,,
,,1046,4,《སྣར་》,ན་ཉམ།,,,,,,
,,1047,5,《པེ་》,ཀྱིས་བརྟེན།;《སྣར་》,ཀྱིས་རྟེན།,,,,,
,,1048,6,《པེ་》《སྣར་》,པས།,,,,,,
,,1049,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1050,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1051,9,《པེ་》,མཉམ།;《སྣར་》,མཉན།,,,,,
,185,1052,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1053,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,1054,3,《པེ་》,མཉམ།,,,,,,
,,1055,4,《པེ་》,བཟུང་།,,,,,,
,186,1056,1,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,1057,2,《པེ་》,ཀྱིས།,,,,,,
,,1058,3,《པེ་》《སྣར་》,pཞེས།,,,,,,
,,1059,4,《པེ་》《སྣར་》,ཀྱི་གཉེར།,,,,,,
,,1060,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1061,6,《པེ་》《སྣར་》,པ།,,,,,,
,,1062,7,《པེ་》《སྣར་》,བསྟན།,,,,,,
,187,1063,1,《པེ་》《སྣར་》,pཆོས་ཀྱི་སྐུ།,,,,,,
,,1064,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1065,3,《པེ་》《སྣར་》,མཉན།,,,,,,
,,1066,4,《པེ་》《སྣར་》,mསྐུ།,,,,,,
,,1067,5,《པེ་》《སྣར་》,ང་།,,,,,,
,,1068,6,《པེ་》《སྣར་》,གཙང་།,,,,,,
,,1069,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,188,1070,1,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,1071,2,《པེ་》,pསུ།,,,,,,
,,1072,3,《པེ་》,བརྡའ།,,,,,,
,189,1073,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,1074,2,《པེ་》《སྣར་》,སྔོན།,,,,,,
,,1075,3,《པེ་》《སྣར་》,པ།,,,,,,
,,1076,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,190,1077,1,《པེ་》《སྣར་》,འདི།,,,,,,
,,1078,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1079,3,《པེ་》《སྣར་》,mརོ།།,,,,,,
,,1080,4,《པེ་》《སྣར་》,པ།,,,,,,
,,1081,5,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,191,1082,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1083,2,《པེ་》《སྣར་》,ཆ།,,,,,,
,,1084,3,《པེ་》《སྣར་》,པར།,,,,,,
,,1085,4,《པེ་》《སྣར་》,པ།,,,,,,
,192,1086,1,《སྣར་》,mམེད།,,,,,,
,,1087,2,《པེ་》《སྣར་》,mདང་།,,,,,,
,,1088,3,《པེ་》《སྣར་》,mཅན།,,,,,,
,,1089,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,1090,5,《པེ་》《སྣར་》,mསྐུ།,,,,,,
,,1091,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1092,7,《པེ་》《སྣར་》,mབསྟན།,,,,,,
,,1093,8,《པེ་》《སྣར་》,དབུས་དང་མཐའ་མེད་དོ།།,,,,,,
,193,1094,1,《པེ་》《སྣར་》,mམཐའི།,,,,,,
,,1095,2,《པེ་》《སྣར་》,pཅི།,,,,,,
,194,1096,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1097,2,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,1098,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,1099,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,1100,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,195,1101,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,1102,2,《སྣར་》,mདོ།,,,,,,
,,1103,3,《པེ་》《སྣར་》,མཐར་མུ།,,,,,,
,,1104,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1105,5,《པེ་》《སྣར་》,མཐར།,,,,,,
,196,1106,1,《པེ་》,ཀྱི་འགྲེལ་པ།;《སྣར་》,ཀྱིས་འགྲེལ།,,,,,
,,1107,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,1108,3,《སྣར་》,ཀྱི།,,,,,,
,197,1109,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,1110,2,《སྣར་》,mཔ།,,,,,,
,,1111,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,1112,4,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,198,1113,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1114,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,1115,3,《པེ་》《སྣར་》,ཇི།,,,,,,
,,1116,4,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,1117,5,《པེ་》《སྣར་》,གིས།,,,,,,
,,1118,6,《པེ་》,གསལ།,,,,,,
,199,1119,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,1120,2,《སྣར་》,ཀྱི།,,,,,,
,,1121,3,《སྣར་》,mནོ།,,,,,,
,,1122,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,1123,5,《པེ་》《སྣར་》,སྔ།,,,,,,
,200,1124,1,《པེ་》《སྣར་》,mལུས་དང་ཤའི།,,,,,,
,,1125,2,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,1126,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1127,4,《པེ་》《སྣར་》,ལས།,,,,,,
,201,1128,1,《པེ་》,གིས།,,,,,,
,,1129,2,《པེ་》《སྣར་》《ཅོ་》,གཅིག,,,,,,
,,1130,3,《སྣར་》,གཅིག,,,,,,
