མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
བསྟན་བཅོས་ཚིགས་སུ་བཅད་པ་བསྡུས་པ་ཞེས་བྱ་བ།,1163,2,1,,མཚན་བྱང་འདི་ཆོས་མཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་ཚིགས་སུ་བཅད་པ་བསྡུས་པ་དབྱིག་གཉེན་གྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》,ནྒཱ་ཐས་མརྠ།,《སྣར་》,ནྒཱ་ཐཱ་ས་མརྠ།
,,4,3,《པེ་》《སྣར་》,གང་།,
,1164,5,1,《སྣར་》,མཆིས།,
,,6,2,《པེ་》《སྣར་》,བསྟན།,
,,7,3,《པེ་》,དུ་བས་བདུག,《སྣར་》,དུ་བས་འདུག
,,8,4,《པེ་》《སྣར་》,དེ།,
,,9,5,《པེ་》《སྣར་》,ལ།,
,,10,6,《པེ་》《སྣར་》,ཟད།,
,,11,7,《པེ་》《སྣར་》,ཡི།,
,,12,8,《པེ་》《སྣར་》,mཆོས་ལ་ཀུས་དགའ་ཆོས་ལ་དགའ།,
,,13,9,《པེ་》《སྣར་》,ཡིས།,
,,14,10,《པེ་》《སྣར་》,འགས་ཤེས་རབ།,
,,15,11,《པེ་》《སྣར་》,བ།,
,1165,16,1,《པེ་》《སྣར་》,པ།,
,,17,2,《པེ་》《སྣར་》,བ།,,
,,18,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,19,4,《པེ་》《སྣར་》,ནི།,,
,,20,5,《པེ་》《སྣར་》,མ།,,
,,21,6,《པེ་》《སྣར་》,དེ།,,
,,22,7,《པེ་》《སྣར་》,མཐོར།,,
,,23,8,《སྣར་》,མཛད།,,
,,24,9,《པེ་》《སྣར་》,འདུ་བའི།,,
,1166,25,1,《པེ་》《སྣར་》,གྱུར།,,
,,26,2,《པེ་》,pདགེའོ།།,,
,,,,,,,
,,,,,,,
