མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,
,769,99,1,《པེ་》《སྣར་》,ལ།,
,,100,2,《པེ་》《སྣར་》,mརྒྱུ་མཚན།,
,,101,3,《པེ་》《སྣར་》,གཏོགས།,
,,102,4,《པེ་》,པས།,
,,103,5,《སྣར་》,གཏོགས།,
,,104,6,《པེ་》《སྣར་》,pལ།,
,,105,7,《པེ་》《སྣར་》,གོང་དུ།,
,,106,8,《པེ་》《སྣར་》,mབ།,
,,107,9,《པེ་》《སྣར་》,རྟོགས།,
,,108,10,《པེ་》《སྣར་》,ལ།,
,,109,11,《པེ་》《སྣར་》,mཡང་།,
,770,110,1,《སྣར་》,པ།,
,,111,2,《པེ་》《སྣར་》,མི་བྱེད།,
,,112,3,《སྣར་》,འདི།,
,,113,4,《པེ་》《སྣར་》,གི།,
,,114,5,《སྣར་》,པ།,
,,115,6,《པེ་》《ཅོ་》,mདུ།,
,,116,7,《པེ་》《སྣར་》,གྱི།,
,,117,8,《པེ་》《སྣར་》,mདེ།,
,,118,9,《སྣར་》,mབོ།,
,,119,10,《པེ་》《སྣར་》,པ།,
,771,120,1,《སྣར་》,གི།,
,,121,2,《པེ་》《སྣར་》,འཐུན།,
,,122,3,《པེ་》《སྣར་》,mཡང་།,
,,123,4,《པེ་》《སྣར་》,pགལ་ཏེ་ཇི་ལྟར་རྒྱུ་མཚན་ལ་རག་ལས་པར་མི་རུང་ངོ་། །,
,,124,5,《པེ་》《སྣར་》,mཔར་བྱེད།,
,,125,6,《སྣར་》,གིས།,
,,126,7,《པེ་》《སྣར་》,ཉིད་དེ།,
,,127,8,《པེ་》《སྣར་》,mའདོགས་པས་དེའི་ཕྱིར་ཉེ་བར།,
,,128,9,《པེ་》《སྣར་》,གྱི།,
,772,129,1,《པེ་》《སྣར་》,དེ།,
,,130,2,《པེ་》《སྣར་》,གཟུང་།,
,,131,3,《པེ་》《སྣར་》,གཟུང་།,
,,132,4,《པེ་》《སྣར་》,གཟུང་།,
,,133,5,《པེ་》《སྣར་》,གཟུང་།,
,,134,6,《པེ་》《སྣར་》,mམངོན་པར།,
,,135,7,《པེ་》《སྣར་》,པའི།,
,,136,8,《སྣར་》,བུའི།,
,773,137,1,《པེ་》《སྣར་》,ལ།,
,,138,2,《པེ་》《སྣར་》,pདེ།,
,,139,3,《པེ་》《སྣར་》,རིག,
,,140,4,《པེ་》《སྣར་》,བསྐྱེད།,
,,141,5,《སྣར་》,འདི།,
,,142,6,《སྣར་》,རྟོགས།,
,774,143,1,《པེ་》《སྣར་》,pམ།,
,,144,2,《པེ་》,ཅིག,
,,145,3,《པེ་》《སྣར་》,mདག,
,,146,4,《པེ་》《སྣར་》,pདག,
,775,147,1,《པེ་》《སྣར་》,པར།,
,,148,2,《པེ་》《སྣར་》,སྟེ།,
,776,149,1,《པེ་》《སྣར་》,mམི།,
,,150,2,《པེ་》,མེད་ཅི།,《སྣར་》,མེད་ཅིང་།
