ཆོས་ཚན།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,,,,,,
,112,784,1,《པེ་》《སྣར་》,pཏེ།,,,,,,
,,785,2,《པེ་》《སྣར་》,ཏོ།,,,,,,
,,786,༣,《སྣར་》,ཞིན།,,,,,,
,113,787,1,《པེ་》《སྣར་》,དེ་ཅིའི་ཕྱིར་ཞེ་ན།,,,,,,
,114,788,1,《སྣར་》,mབ།,,,,,,
,,789,2,《པེ་》,གྱུར་པའི།;《སྣར་》,འགྱུར་བའི།,,,,,
,,790,3,《པེ་》《སྣར་》,pམེད་པ།,,,,,,
,,791,4,《ཅོ་》,mལ།,,,,,,
,,792,5,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,793,6,《པེ་》《སྣར་》,འགྲེལ།,,,,,,
,115,794,1,《པེ་》《སྣར་》,mགང་།,,,,,,
,,795,2,《སྣར་》,དགྲོལ།,,,,,,
,,796,3,《པེ་》,ཀྱི།,,,,,,
,,797,4,《པེ་》《སྣར་》,པ་ལ།,,,,,,
,,798,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,116,799,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,800,2,《པེ་》《སྣར་》,pནི།,,,,,,
,117,801,1,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,802,2,《པེ་》《སྣར་》,pལས།,,,,,,
,,803,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,804,4,《པེ་》《སྣར་》,རིག,,,,,,
,,805,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,806,6,《པེ་》《སྣར་》,པས།,,,,,,
,,807,7,《སྣར་》,mངོ་།,,,,,,
,,808,8,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,809,9,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,810,10,《པེ་》《སྣར་》,ཉིད་ཀྱི།,,,,,,
,118,811,1,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,812,2,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,813,3,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,814,4,《སྣར་》,mཇི།,,,,,,
,119,815,1,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,816,2,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,817,3,《སྣར་》,པོ།,,,,,,
,,818,4,《པེ་》《སྣར་》,རམ།,,,,,,
,,819,5,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,120,820,1,《པེ་》《སྣར་》,བྱ།,,,,,,
,,821,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,822,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,823,4,《པེ་》《སྣར་》,གི།,,,,,,
,,824,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,825,6,《པེ་》,ཀྱིས།,,,,,,
,,826,7,《པེ་》《སྣར་》,རུང་བརྟག,,,,,,
,,827,8,《སྣར་》,དེང་།,,,,,,
,,828,9,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,121,829,1,《པེ་》《སྣར་》,གི།,,,,,,
,,830,2,《པེ་》《སྣར་》,གི།,,,,,,
,,831,3,《པེ་》,བསྡུས།;《སྣར་》,བསྡུད།,,,,,
,,832,4,《པེ་》《སྣར་》,བཞག,,,,,,
,,833,5,《པེ་》《སྣར་》,pནི།,,,,,,
,,834,6,《པེ་》《སྣར་》,བསྟན།,,,,,,
,122,835,1,《པེ་》《སྣར་》,གི།,,,,,,
,,836,2,《པེ་》《སྣར་》,བདག,,,,,,
,,837,3,《པེ་》《སྣར་》,པ་བླ།,,,,,,
,,838,4,《པེ་》《སྣར་》,པ།,,,,,,
,,839,5,《པེ་》《སྣར་》,འདོར།,,,,,,
,123,840,1,《པེ་》《སྣར་》,གི།,,,,,,
,,841,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,842,3,《པེ་》《སྣར་》,mལ།,,,,,,
,,843,4,《པེ་》,ཉམས།,,,,,,
,,844,5,《པེ་》《སྣར་》,ཞེའོ།,,,,,,
,,845,6,《པེ་》《སྣར་》,mལ།,,,,,,
,124,846,1,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,847,2,《པེ་》,ལྱང་།;《སྣར་》,ལྱང་གང།,,,,,
,125,848,1,《པེ་》《སྣར་》,སྐྱེས་པར།,,,,,,
,,849,2,《པེ་》《སྣར་》,ལྱང་གང་།,,,,,,
,,850,3,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,851,4,《པེ་》《སྣར་》,བྱེད་དོ་ཞེས་འབྱུང་ངོ་།,,,,,,
,,852,5,《པེ་》《སྣར་》,mདུ།,,,,,,
,,853,6,《པེ་》《སྣར་》,ལྱང་གང་།,,,,,,
,,854,7,《པེ་》《སྣར་》,mཞེས་བཤད་དོ།,,,,,,
,,855,8,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,856,9,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,126,857,1,《སྣར་》,mཔོ།,,,,,,
,,858,2,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,859,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,860,4,《པེ་》《སྣར་》,དང་།,,,,,,
,,861,5,《པེ་》《སྣར་》,པོས།,,,,,,
,,862,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,,863,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,864,8,《པེ་》《སྣར་》,གི།,,,,,,
,,865,9,《པེ་》《སྣར་》,གཏོགས།,,,,,,
,,866,10,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,127,867,1,《པེ་》《སྣར་》,mསྒྲ།,,,,,,
,,868,2,《ཅོ་》,ཡིན་ནོ།,,,,,,
,,869,3,《པེ་》《སྣར་》,གི།,,,,,,
,,870,4,《པེ་》《སྣར་》,པས།,,,,,,
,,871,5,《པེ་》《སྣར་》,pདེ།,,,,,,
,,872,6,《པེ་》《སྣར་》,པས།,,,,,,
,,873,7,《པེ་》《སྣར་》,འགྲོ།,,,,,,
,,874,8,《པེ་》,ཡང་བ།;《སྣར་》,མེད་པ།,,,,,
,,875,9,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,876,10,《པེ་》《སྣར་》,བསྲུངས་པའི།,,,,,,
,128,877,1,《པེ་》《སྣར་》,གྱུར་པ།,,,,,,
,,878,2,《པེ་》《སྣར་》,བཀུར།,,,,,,
,,879,3,《སྣར་》,དགྲོལ།,,,,,,
,,880,4,《པེ་》,mནི།,,,,,,
,,881,5,《པེ་》《སྣར་》,མང་བའི།,,,,,,
,,882,6,《སྣར་》,mལ།,,,,,,
,,883,7,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,884,8,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,885,9,《པེ་》《སྣར་》,གིས།,,,,,,
,,886,10,《པེ་》《སྣར་》,ཏོ།,,,,,,
,,887,11,《པེ་》《སྣར་》,pདེ།,,,,,,
,129,888,1,《པེ་》,པ།,,,,,,
,,889,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,890,3,《པེ་》《སྣར་》,mལས།,,,,,,
,130,891,1,《པེ་》《སྣར་》,འདོར།,,,,,,
,,892,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,893,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,894,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,895,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,131,896,1,《པེ་》《སྣར་》,བསྐོལ།,,,,,,
,,897,2,《པེ་》《སྣར་》,mདོ།,,,,,,
,,898,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,899,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,900,5,《པེ་》《སྣར་》,པས་སྐྱེད།,,,,,,
,132,901,1,《པེ་》《སྣར་》,གོང་དུ།,,,,,,
,,902,2,《པེ་》《སྣར་》,བདག,,,,,,
,,903,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,904,4,《ཅོ་》,པས།,,,,,,
,,905,5,《པེ་》《སྣར་》,གིས།,,,,,,
,133,906,1,《པེ་》,དེ།,,,,,,
,,907,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,908,3,《སྣར་》,mབ།,,,,,,
,,909,4,《པེ་》《སྣར་》,པོར།,,,,,,
,,910,5,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,134,911,1,《པེ་》《སྣར་》,སྦྱར།,,,,,,
,,912,2,《པེ་》,གྱི།,,,,,,
,,913,3,《པེ་》,གིས།,,,,,,
,,914,4,《པེ་》《སྣར་》,པ།,,,,,,
,,915,5,《པེ་》《སྣར་》,ནམ་ཡང་།,,,,,,
,135,916,1,《པེ་》,བདུན་གྱིས།;《སྣར་》,བདུན་གྱི།,,,,,
,,917,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,918,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,919,4,《པེ་》《སྣར་》,mབ།,,,,,,
,136,920,1,《པེ་》,གིས།,,,,,,
,,921,2,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,922,3,《པེ་》《སྣར་》,འཐོབ་པར་འགྱུར་བ།,,,,,,
,137,923,1,《སྣར་》,རྣམ།,,,,,,
,,924,2,《པེ་》《སྣར་》,mདག,,,,,,
,,925,3,《སྣར་》,ཕྱེད།,,,,,,
,,926,4,《པེ་》,གིས།,,,,,,
,,927,5,《པེ་》《སྣར་》,གི།,,,,,,
,,928,6,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,929,7,《པེ་》《སྣར་》,སྟོན།,,,,,,
,138,930,1,《སྣར་》,པས།,,,,,,
,,931,2,《ཅོ་》,pལ།,,,,,,
,,932,3,《སྣར་》,རབ།,,,,,,
,,933,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,934,5,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,,
,139,935,1,《པེ་》《སྣར་》,ན།,,,,,,
,,936,2,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,937,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,938,4,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,939,5,《པེ་》《སྣར་》,བྱིན།,,,,,,
,,940,6,《སྣར་》,མཚམས།,,,,,,
,,941,7,《པེ་》《སྣར་》,mནི།,,,,,,
,140,942,1,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,,
,,943,2,《པེ་》《སྣར་》,འཆད།,,,,,,
,,944,3,《སྣར་》,pཔར།,,,,,,
,,945,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,946,5,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,947,6,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,141,948,1,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,949,2,《པེ་》《སྣར་》,mབརྟན་པའི་ཚུལ་ཁྲིམས་ཅན་དང་།,,,,,,
,,950,3,《པེ་》《སྣར་》,བྱེད།,,,,,,
,,951,4,《པེ་》,པ་གཞི།;《སྣར་》,པ་བཞི།,,,,,
,,952,5,《པེ་》,པ་གཞི།;《སྣར་》,པ་བཞི།,,,,,
,,953,6,《པེ་》《སྣར་》,mཇི་སྐད་དུ།,,,,,,
,,954,7,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,955,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,956,9,《པེ་》《སྣར་》,mཡིན།,,,,,,
,,957,10,《པེ་》《སྣར་》,mཁྲིམས།,,,,,,
,142,958,1,《པེ་》《སྣར་》,mདྲུག,,,,,,
,,959,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,960,3,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,961,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,962,5,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,963,6,《པེ་》《སྣར་》,དེ་ནི།,,,,,,
,,964,7,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,143,965,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,966,2,《པེ་》,གིས།,,,,,,
,,967,3,《པེ་》《སྣར་》,སྤྱོད་པ།,,,,,,
,,968,4,《པེ་》《སྣར་》,འཚང་།,,,,,,
,,969,5,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,970,6,《པེ་》《སྣར་》,རྟོག་པ་སྤྱོད་པ།,,,,,,
,,971,7,《ཅོ་》,pདང་།,,,,,,
,144,972,1,《པེ་》《སྣར་》,གྱུར་པའི།,,,,,,
,,973,2,《པེ་》《སྣར་》,འཚང་།,,,,,,
,,974,3,《པེ་》《སྣར་》,བརྡེག,,,,,,
,,975,4,《པེ་》《སྣར་》,དེ།,,,,,,
,145,976,1,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,977,2,《པེ་》《སྣར་》,mགདོན།,,,,,,
,,978,3,《སྣར་》,གི།,,,,,,
,,979,4,《པེ་》《སྣར་》,འཁྲུག,,,,,,
,,980,5,《པེ་》《སྣར་》,པ།,,,,,,
,,981,6,《པེ་》《སྣར་》,གདགས།,,,,,,
,,982,7,《པེ་》《སྣར་》,ཆགས།,,,,,,
,,983,8,《པེ་》《སྣར་》,འོང་།,,,,,,
,,984,9,《སྣར་》,པ།,,,,,,
,,985,10,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,,
,,986,11,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,146,987,1,《སྣར་》,དེ་ཉིད་དུ་དགྲ་བོ།,,,,,,
,,988,2,《པེ་》《སྣར་》,བརྡད།,,,,,,
,,989,3,《པེ་》《སྣར་》,པའོ།,,,,,,
,,990,4,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,991,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,992,6,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,993,7,《པེ་》,གྲོལ།,,,,,,
,,994,8,《པེ་》《སྣར་》,mདང་།,,,,,,
,147,995,1,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,996,2,《པེ་》《སྣར་》,བ།,,,,,,
,,997,3,《པེ་》《སྣར་》,གི།,,,,,,
,,998,4,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,999,5,《པེ་》《སྣར་》,pརྣམ་པར་བཤད་པ་ཡང་མཚན་ཉིད་རྣམ་པ་བདུན་བཤད་པ་དང་།  མཇུག་བསྡུ་བའོ། །,,,,,,
,,1000,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1001,7,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,1002,8,《པེ་》《སྣར་》,པར།,,,,,,
,,1003,9,《པེ་》《སྣར་》,བརྩོམ།,,,,,,
,,1004,10,《པེ་》《སྣར་》,མཛགས།,,,,,,
,148,1005,1,《སྣར་》,དེ།,,,,,,
,,1006,2,《པེ་》《སྣར་》《ཅོ་》,གཅག,,,,,,
,,1007,3,《སྣར་》,ཀྱི།,,,,,,
,,1008,4,《པེ་》《སྣར་》,མང་།,,,,,,
,,1009,5,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,1010,6,《པེ་》《སྣར་》,མ་གྱུར།,,,,,,
,,1011,7,《པེ་》《སྣར་》,པ།,,,,,,
,,1012,8,《པེ་》《སྣར་》,བྱང་།,,,,,,
,149,1013,1,《པེ་》《སྣར་》,pལ་སོགས་པ།,,,,,,
,,1014,2,《སྣར་》,བ།,,,,,,
,,1015,3,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,1016,4,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,1017,5,《སྣར་》,བཞག,,,,,,
,150,1018,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1019,2,《པེ་》《སྣར་》,mཔར་བཤད།,,,,,,
,,1020,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1021,4,《པེ་》《སྣར་》,ཡོད་པས།,,,,,,
,,1022,5,《པེ་》《སྣར་》,pམེད།,,,,,,
,,1023,6,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,1024,7,《པེ་》《སྣར་》,mབཞིན།,,,,,,
,,1025,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1026,9,《པེ་》《སྣར་》,གྱིས།,,,,,,
,151,1027,1,《སྣར་》,པར།,,,,,,
,,1028,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,1029,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,1030,4,《པེ་》《སྣར་》,mརོ།,,,,,,
,,1031,5,《པེ་》《སྣར་》,དོ།,,,,,,
,,1032,6,《པེ་》《སྣར་》,པའོ།,,,,,,
,,1033,7,《པེ་》《སྣར་》,གི།,,,,,,
,,1034,8,《པེ་》,རྟོག,,,,,,
,152,1035,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,1036,2,《སྣར་》,ལས།,,,,,,
,,1037,3,《པེ་》,ཀྱི།,,,,,,
,,1038,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,1039,5,《པེ་》《སྣར་》,pཡིན།,,,,,,
,,1040,6,《སྣར་》,ཀྱིས།,,,,,,
,153,1041,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1042,2,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,1043,3,《པེ་》《སྣར་》,རྟོག,,,,,,
,,1044,4,《པེ་》《སྣར་》,རྫོགས།,,,,,,
,,1045,5,《སྣར་》,རྟོགས།,,,,,,
,,1046,6,《པེ་》,ཆད་ལྷག;《སྣར་》,ཆད་ལྷན།,,,,,
,154,1047,1,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,1048,2,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,1049,3,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,,
,,1050,4,《པེ་》《སྣར་》,བས།,,,,,,
,,1051,5,《པེ་》《སྣར་》,གི།,,,,,,
,,1052,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1053,7,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,1054,8,《པེ་》《སྣར་》,བསྟན།,,,,,,
,155,1055,1,《སྣར་》,དེ།,,,,,,
,,1056,2,《པེ་》《སྣར་》,mསྐུར་བའི་ཕྱིར།,,,,,,
,,1057,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,1058,4,《པེ་》,རྟགས།,,,,,,
,,1059,5,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,1060,6,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,1061,7,《པེ་》《སྣར་》,པ།,,,,,,
,,1062,8,《པེ་》《སྣར་》,པས།,,,,,,
,,1063,9,《པེ་》,དོ།,,,,,,
,,1064,10,《པེ་》《སྣར་》,mམ།,,,,,,
,,1065,11,《པེ་》《སྣར་》,mདང་།,,,,,,
,156,1066,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,1067,2,《སྣར་》,pད།,,,,,,
,,1068,3,《པེ་》《སྣར་》,པ།,,,,,,
,,1069,4,《པེ་》《སྣར་》,pདུ།,,,,,,
,,1070,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,1071,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1072,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,157,1073,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,1074,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,1075,3,《པེ་》,mདུ།,,,,,,
,,1076,4,《པེ་》《སྣར་》,pབ།,,,,,,
,,1077,5,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,1078,6,《པེ་》《སྣར་》,རིག,,,,,,
,158,1079,1,《པེ་》,བསྒྲུབ།,,,,,,
,,1080,2,《པེ་》,གང་།,,,,,,
,,1081,3,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,1082,4,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,1083,5,《པེ་》《སྣར་》,རྟོག,,,,,,
,,1084,6,《སྣར་》,བྱེད།,,,,,,
,,1085,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,1086,8,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,,
,159,1087,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,1088,2,《པེ་》,སྨི།,,,,,,
,,1089,3,《པེ་》《སྣར་》,mདུ་ཡོད།,,,,,,
,,1090,4,《སྣར་》,བཞེད།,,,,,,
,,1091,5,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,1092,6,《པེ་》,གིས་ལམ་གྱི།;《སྣར་》,གི་ལམ་གྱི།,,,,,
,,1093,7,《པེ་》《སྣར་》,pལ།,,,,,,
,160,1094,1,《སྣར་》,mནོ།,,,,,,
,,1095,2,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,1096,3,《པེ་》《སྣར་》,pའདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའི་ཅིའི་ཕྱིར་ཐོས་པ་དང་ཚོལ་བར་བྱེད་ཅེ་ན།,,,,,,
,,1097,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,1098,5,《སྣར་》,བཅད།,,,,,,
,,1099,6,《པེ་》《སྣར་》,mདང་།,,,,,,
,,1100,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1101,8,《པེ་》《སྣར་》,བཏགས།,,,,,,
,161,1102,1,《པེ་》,ཚིགས།,,,,,,
,,1103,2,《པེ་》,དཔའི།;《སྣར་》,དཔའ།,,,,,
,,1104,3,《པེ་》《སྣར་》,པ།,,,,,,
,,1105,4,《པེ་》,དང་།,,,,,,
,162,1106,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,1107,2,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,1108,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,1109,4,《པེ་》《སྣར་》,mགཤེགས་པ།,,,,,,
,163,1110,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,1111,2,《པེ་》,ཏེ།,,,,,,
,,1112,3,《པེ་》,འཐུན།,,,,,,
,,1113,4,《པེ་》《སྣར་》,pདེ།,,,,,,
,,1114,5,《པེ་》《སྣར་》,འདིས།,,,,,,
,,1115,6,《པེ་》,འབྱུང་།,,,,,,
,164,1116,1,《པེ་》《སྣར་》,པ།,,,,,,
,,1117,2,《པེ་》,བསྒོམས།,,,,,,
,,1118,3,《པེ་》,གནན།;《སྣར་》,མནན།,,,,,
,,1119,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,1120,5,《པེ་》《སྣར་》,གི།,,,,,,
,,1121,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,,1122,7,《པེ་》《སྣར་》,mརོ།,,,,,,
,,1123,8,《པེ་》《སྣར་》,དེས།,,,,,,
,,1124,9,《པེ་》,pའདི།,,,,,,
,,1125,10,《པེ་》,བརྡའ།,,,,,,
,,1126,11,《པེ་》《སྣར་》,mལྔ་པོ།,,,,,,
,,1127,12,《པེ་》《སྣར་》,mབཅུ་པ།,,,,,,
,,1128,13,《པེ་》,གིས།,,,,,,
,165,1129,1,《སྣར་》,pཔ།,,,,,,
,,1130,2,《པེ་》《སྣར་》,pགསུངས་པ།,,,,,,
,,1131,3,《པེ་》《སྣར་》,པ་སྟེ།,,,,,,
,,1132,4,《སྣར་》,mདབང་ཕྱུག,,,,,,
,,1133,5,《པེ་》《སྣར་》,འཇུག,,,,,,
,,1134,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1135,7,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,166,1136,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,1137,2,《པེ་》《སྣར་》,mགསུམ།,,,,,,
,,1138,3,《པེ་》《སྣར་》,mསུ།,,,,,,
,,1139,4,《སྣར་》,པ།,,,,,,
,,1140,5,《པེ་》《སྣར་》,པས།,,,,,,
,167,1141,1,《པེ་》《སྣར་》,བ།,,,,,,
,,1142,2,《པེ་》《སྣར་》,པ།,,,,,,
,,1143,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,1144,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1145,5,《སྣར་》,mནི།,,,,,,
,168,1146,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,1147,2,《པེ་》《སྣར་》,བསྟན་པ་སྟེ།,,,,,,
,,1148,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1149,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,169,1150,1,《པེ་》,སོ་རྟོག;《སྣར་》,སོ་རྟག,,,,,
,,1151,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,1152,3,《པེ་》《སྣར་》,རྟག,,,,,,
,,1153,4,《པེ་》《སྣར་》,རྟོག,,,,,,
,,1154,5,《པེ་》《སྣར་》,དག,,,,,,
,,1155,6,《པེ་》,རྒྱུད།,,,,,,
,170,1156,1,《པེ་》,བསལ།,,,,,,
,,1157,2,《པེ་》《སྣར་》,mཔར།,,,,,,
,171,1158,1,《པེ་》,mམ།,,,,,,
,,1159,2,《པེ་》《སྣར་》,mནས།,,,,,,
,,1160,3,《སྣར་》,སྐྱེད།,,,,,,
,,1161,4,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1162,5,《པེ་》《སྣར་》,མཆིས།,,,,,,
,,1163,6,《པེ་》《སྣར་》,pམ།,,,,,,
,,1164,7,《པེ་》《སྣར་》,པས་སྤངས་པའི།,,,,,,
,,1165,8,《པེ་》《སྣར་》,pཐ།,,,,,,
,172,1166,1,《པེ་》《སྣར་》,པས།,,,,,,
,,1167,2,《པེ་》《སྣར་》,mབའི།,,,,,,
,,1168,3,《པེ་》《སྣར་》,mའདི།,,,,,,
,,1169,4,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1170,5,《པེ་》《སྣར་》,ཞུ།,,,,,,
,,1171,6,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1172,7,《པེ་》《སྣར་》,པ།,,,,,,
,173,1173,1,《པེ་》《སྣར་》,mམ།,,,,,,
,,1174,2,《པེ་》《སྣར་》,བས།,,,,,,
,,1175,3,《པེ་》《སྣར་》,འདི།,,,,,,
,,1176,4,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,1177,5,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1178,6,《པེ་》《སྣར་》,mནི།,,,,,,
,,1179,7,《པེ་》《སྣར་》,གིས།,,,,,,
,174,1180,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,1181,2,《པེ་》《སྣར་》,པ།,,,,,,
,,1182,3,《སྣར་》,པོ།,,,,,,
,,1183,4,《པེ་》《སྣར་》,mཆོས།,,,,,,
,,1184,5,《པེ་》《སྣར་》,ཀྱི་སྤངས་པར།,,,,,,
,,1185,6,《པེ་》《སྣར་》,mདེ་དག,,,,,,
,,1186,7,《པེ་》,གིས།,,,,,,
,175,1187,1,《སྣར་》,པ།,,,,,,
,,1188,2,《པེ་》《སྣར་》,སྡུས།,,,,,,
,,1189,3,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,1190,4,《པེ་》《སྣར་》,pབ།,,,,,,
,,1191,5,《སྣར་》,mཅེས།,,,,,,
,,1192,6,《སྣར་》,ཏེ།,,,,,,
,176,1193,1,《སྣར་》,pསོ།,,,,,,
,,1194,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,1195,3,《པེ་》《སྣར་》,པོ།,,,,,,
,,1196,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,1197,5,《པེ་》,དོ།,,,,,,
,,1198,6,《པེ་》《སྣར་》,གྱུར་པས།,,,,,,
,177,1199,1,《པེ་》《སྣར་》,mཔར།,,,,,,
,,1200,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1201,3,《པེ་》《སྣར་》,mམ།,,,,,,
