མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ཚོགས་བདག་གསང་སྒྲུབ།,780,2,1,,མཚན་བྱང་འདི་《སྣར་བསྟན་དཀར་ཆག་》ལྟར་བཀོད།,
,,3,2,《པེ་》,སོག,
,783,4,1,《པེ་》,༽མངྒཱ་ལཾ། ཤུབྷཾ།,
,,,,,,
