མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲུབ་ཐབས།,1712,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲུབ་ཐབས་བཞུགས་སོ།། 
,,3,2,《པེ་》《སྣར་》,བསྒོམས།
,1713,4,1,《པེ་》《སྣར་》,བུདྡྷི།
,,5,2,《པེ་》《སྣར་》,མི།
,,6,3,《པེ་》《སྣར་》,སྔགས།
,,7,4,《པེ་》《སྣར་》,རླངས་པའི་བསྐྱུར།
,,8,5,《པེ་》《སྣར་》,ཤྲཱིས།
