མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །སྦྱིན་སྲེག་གི་ཆོ་ག,184,2,1,《པེ་》,༄༅། །སྦྱིན་སྲེག་གི་ཆོ་ག་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།  
,,3,2,《པེ་》,བསྲེག,,,,,,
,,4,3,《པེ་》,སྟན།,,,,,,
,,5,4,《པེ་》,mབཙིག,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,185,6,1,《པེ་》,པ།,,,,,,
,186,7,1,《པེ་》,དུ་འབར།,,,,,,
,,8,2,《པེ་》,པུ་ཙའི།,,,,,,
,,,,,,,,,,,
,,,
,,,,,,
,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
