མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཉི་ཤུ་པའི་འགྲེལ་པ།,12,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་ ༄༅། །ཉི་ཤུ་པའི་འགྲེལ་པ་བཞུགས་སོ།། །།ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,བཞག,
,13,4,1,《པེ་》《སྣར་》,བ།,
,,5,2,《པེ་》《སྣར་》,བ།,
,,6,3,《སྣར་》,འབོད།,
,,7,4,《པེ་》《སྣར་》,འགྱུར་ཏེ།,
,,8,5,《པེ་》《སྣར་》,ལྟར།,
,,9,6,《པེ་》《སྣར་》,mཐམས་ཅད་ན་མ་ཡིན་ཡུལ་དེ་ཉིད་ན་ཡང་རེས་འགའ་སྣང་ལ།,
,14,10,1,《པེ་》《སྣར་》,གྲུབ།,
,,11,2,《པེ་》《སྣར་》,གི།,
,,12,3,《པེ་》《སྣར་》,གི།,
,,13,4,《པེ་》《སྣར་》,མར།,
,,14,5,《པེ་》《སྣར་》,བསྲུངས་པ།,
,,15,6,《པེ་》《སྣར་》,འགྲུབ།,
,,16,7,《པེ་》《སྣར་》,བཞི།,
,,17,8,《པེ་》《སྣར་》,འགྲུབ།,
,,18,9,《པེ་》《སྣར་》,ཀྱི།,
,,19,10,《པེ་》《སྣར་》,གིས།,
,,20,11,《པེ་》《སྣར་》,ན།,
,15,21,1,《སྣར་》,ཅི།,
,,22,2,《པེ་》《སྣར་》,བཞག,
,,23,3,《པེ་》《སྣར་》,འཇིག,
,16,24,1,《པེ་》《སྣར་》,mཕྱིར།,
,,25,2,《པེ་》《སྣར་》,mཀྱི།,
,,26,3,《པེ་》《སྣར་》,གིས།,
,,27,4,《པེ་》《སྣར་》,ཀྱི།,
,,28,5,《པེ་》《སྣར་》,འགྱུར།,
,,29,6,《པེ་》《སྣར་》,pདེ།,
,,30,7,《པེ་》《སྣར་》,ཀྱི།,
,,31,8,《པེ་》《སྣར་》,འབྱུང་།,
,,32,9,《པེ་》《སྣར་》,རྟོགས།,
,,33,10,《སྣར་》,ཀྱིས།,
,,34,11,《པེ་》《སྣར་》,mདེ།,
,,35,12,《པེ་》《སྣར་》,འགྱུར་བ།,
,17,36,1,《པེ་》,གསུངས་པར།,
,,37,2,《སྣར་》,mརོ།,
,,38,3,《པེ་》《སྣར་》,རྫུས།,
,,39,4,《པེ་》《སྣར་》,རྫུས།,
,,40,5,《པེ་》《སྣར་》,mབཞིན།,
,,41,6,《པེ་》《སྣར་》,mརྒྱུད།,
,,42,7,《པེ་》《སྣར་》,ཀྱི།,
,18,43,1,《པེ་》,mདྲུག,
,,44,2,《པེ་》《སྣར་》,པོ།,
,,45,3,《པེ་》《སྣར་》,པའི།,
,,46,4,《པེ་》《སྣར་》,pཉིད།,
,,47,5,《པེ་》,ཀྱིས།,
,,48,6,《པེ་》《སྣར་》,mགོ།,
,,49,7,《ཅོ་》,པར།,
,,50,8,《པེ་》《སྣར་》,pསྤྱོད།,
,,51,9,《ཅོ་》,པར།,
,,52,10,《པེ་》《སྣར་》,རྟོག,
,,53,11,《པེ་》《སྣར་》,བཞག,
,19,54,1,《པེ་》《སྣར་》,པའི།,
,,55,2,《སྣར་》,པར།,
,,56,3,《པེ་》《སྣར་》,རྟོག,
,,57,4,《པེ་》《སྣར་》,བརྟགས།,
,,58,5,《པེ་》《སྣར་》,གིས།,
,,59,6,《སྣར་》,སྙེད།,
,,60,7,《སྣར་》,ད་ནི།,
,20,61,1,《པེ་》《སྣར་》,གྱིས།,
,,62,2,《པེ་》《སྣར་》,mདེ།,
,,63,3,《པེ་》《སྣར་》,ནམ་གཞན།,
,,64,4,《པེ་》《སྣར་》,དེའི།,
,,65,5,《པེ་》,གྱི་རྣམས།,《སྣར་》,གྱི་རྣམ།
,,66,6,《པེ་》《སྣར་》,བས།,
,,67,7,《སྣར་》,pན།,
,,68,8,《པེ་》《སྣར་》,གྲིབ།,
,,69,9,《པེ་》《སྣར་》,pཡང་།,
,,70,10,《པེ་》《སྣར་》,མི།,
,,71,11,《པེ་》《སྣར་》,ཆ།,
,,72,12,《པེ་》《སྣར་》,ཐོག,
,21,73,1,《པེ་》《སྣར་》,ལས།,
,,74,2,《ཅོ་》,mཕྲ།,
,,75,3,《པེ་》《སྣར་》,རྟོག,
,,76,4,《སྣར་》,pནོ།,
,,77,5,《སྣར་》,བསོད།,
,,78,6,《པེ་》《སྣར་》,གོམས།,
,22,79,1,《པེ་》《སྣར་》,mམི།,
,,80,2,《པེ་》,ཅིག,
,,81,3,《པེ་》《སྣར་》,mཡང་།,
