མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་བཞུགས།,1594,2,1,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 《པེ་》སྒྲུབ་པོ་དམ་ཚིག་ལྡན་པའི་ཆོ་ག་བཞུགས།,
,,3,2,《སྣར་》,༼བཞི།,
,,4,3,《པེ་》《སྣར་》,རིགས།,
,1595,5,1,《པེ་》《སྣར་》,སྒོམ།,
,,6,2,《པེ་》《སྣར་》,སྒོམ།,
,,7,3,《སྣར་》,ཀྱི།,
,,8,4,《པེ་》《སྣར་》,ལོཙྪ།,
,,,,,,
