མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,16,73,1,《པེ་》《སྣར་》,རིམ། ,,,,,,( འདིའི་འོག་གི་རིམས་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་རིམ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,74,2,《སྣར་》,pཀྱི་གནས་སྐབས་རྟོགས་པ་དེ་ཉིད།,,,,,,
,,75,3,《པེ་》《སྣར་》,pམ།,,,,,,
,,76,4,《པེ་》《སྣར་》,mསུམ།,,,,,,
,,77,5,《སྣར་》,པ།,,,,,,
,,78,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,79,7,《སྣར་》,mཡང་།,,,,,,
,17,80,1,《པེ་》《སྣར་》,བའི།,,,,,,
,,81,2,《པེ་》《སྣར་》,ལས།,
,,82,3,《པེ་》《སྣར་》,mཔ།,
,,83,4,《པེ་》《སྣར་》,mགི་ཕྱིར།,
,,84,5,《པེ་》《སྣར་》,mན།,
,,85,6,《པེ་》《སྣར་》,བའི།,
,,86,7,《པེ་》《སྣར་》,pན།,
,,87,8,《པེ་》《སྣར་》,pསྣང་བ།,
,,88,9,《པེ་》《སྣར་》,གྱི།,
,,89,10,《པེ་》,རྟོགས་གམ།,《སྣར་》,ཏོགས་གི།
,18,90,1,《པེ་》《སྣར་》,mའགའ་ཞིག,
,,91,2,《པེ་》《སྣར་》,རྟོགས།,
,,92,3,《པེ་》《སྣར་》,བའི།,
,,93,4,《པེ་》《སྣར་》,ཀྱིས།,
,,94,5,《པེ་》《སྣར་》,mསྒྱུ་མ་ཉིད།,
,,95,6,《པེ་》《སྣར་》,mཞེས།,
,,96,7,《པེ་》《སྣར་》,mཞེས་པ།,
,,97,8,《པེ་》《སྣར་》,རིགས།
,,98,9,《པེ་》《སྣར་》,བསྒྲུབས།
,,99,10,《པེ་》《སྣར་》,mམ།
,19,100,1,《པེ་》《སྣར་》,ལྡང་བའི།
,,101,2,《པེ་》《སྣར་》,པ་ལས།
,,102,3,《པེ་》《སྣར་》,ཏེ།
,,103,4,《པེ་》《སྣར་》,སོགས།
,,104,5,《པེ་》《སྣར་》,pདང་།
,,105,6,《པེ་》《སྣར་》,ཅིག
,,106,7,《པེ་》《སྣར་》,པར།
,,107,8,《པེ་》《སྣར་》《ཅོ་》,བཞག
,,108,9,《པེ་》《སྣར་》,ཞེས།
,,109,10,《པེ་》《སྣར་》,mཀྱི།
,,110,11,《པེ་》《སྣར་》,mཅན།
,,111,12,《པེ་》《སྣར་》,mདག
,,112,13,《པེ་》《སྣར་》,ཝ།
,20,113,1,《པེ་》《སྣར་》,རིགས་པ།
,,114,2,《པེ་》《སྣར་》,བསྒོམས།
,,115,3,《སྣར་》,བསྟེན།
,21,116,1,《པེ་》《སྣར་》,རླབས།
,,117,2,《པེ་》《སྣར་》,སྐྱེད།
,,118,3,《པེ་》《སྣར་》,mརྟོགས་པས།
,,119,4,《པེ་》《སྣར་》,པར།
,,120,5,《པེ་》《སྣར་》,དབང་།
,,121,6,《པེ་》《སྣར་》,པར་གྱུར་པ།
,,122,7,《པེ་》《སྣར་》,པར།
,22,123,1,《པེ་》《སྣར་》,བསླབ།
,,124,2,《པེ་》《སྣར་》,གྱི།
,,125,3,《པེ་》《སྣར་》,བ།
,,126,4,《པེ་》《སྣར་》,ཀྱི།
,,127,5,《པེ་》《སྣར་》,བྱའོ།
,,128,6,《པེ་》《སྣར་》,ཞར།
,,129,7,《སྣར་》,དེ།
,,130,8,《པེ་》《སྣར་》,སྤྱིར།
,,131,9,《པེ་》《སྣར་》,གྱི།
,,132,10,《པེ་》《སྣར་》,mཤེས་རབ་ཀྱི།
,,133,11,《པེ་》《སྣར་》,mདེ་ལྟར་ན།
,23,134,1,《པེ་》《སྣར་》,ཁང་།
,24,135,1,《པེ་》《སྣར་》,སྟེ།
,,136,2,《པེ་》《སྣར་》,mཚིག་གི།
,,137,3,《པེ་》《སྣར་》,པར།
,,138,4,《པེ་》《སྣར་》,mཔར་ལྡོག
,,139,5,《པེ་》《སྣར་》《ཅོ་》,སྟེ།
,,140,6,《པེ་》《སྣར་》,mལ།
,25,141,1,《པེ་》《སྣར་》,pགང་།
,,142,2,《པེ་》《སྣར་》,བས།
,,143,3,《པེ་》《སྣར་》,བཏགས།
,,144,4,《པེ་》《སྣར་》,སྟེ།
,,145,5,《པེ་》《སྣར་》,གཟུང་།
,,146,6,《པེ་》,པ།
,,147,7,《སྣར་》,pལས།
,,148,8,《པེ་》《སྣར་》,ཀྱི།
,26,149,1,《པེ་》《སྣར་》,རིགས།
,,150,2,《པེ་》《སྣར་》,པར།
,27,151,1,《པེ་》《སྣར་》,རྟོགས།
,,152,2,《པེ་》《སྣར་》,རྟོག
,,153,3,《པེ་》《སྣར་》,pཡང་།
,28,154,1,《པེ་》《སྣར་》,གཡེང་།
,,155,2,《པེ་》《སྣར་》《ཅོ་》,mསྐྱེ་མེད་བློ་ལྡན་ཞེས་བྱ་བ་ལ་སོགས་པ་གསུངས་ཏེ།
,,156,3,《པེ་》《སྣར་》,mདེའི།
,,157,4,《པེ་》《སྣར་》,ཀྱིས།
,,158,5,《པེ་》《སྣར་》,གྱི།
,,159,6,《པེ་》《སྣར་》,འམ།
,29,160,1,《པེ་》《སྣར་》,mཕྱེ་བས།
,,161,2,《པེ་》《སྣར་》,བལྟོས།
,,162,3,《པེ་》《སྣར་》,ས།
,,163,4,《པེ་》《སྣར་》,བསྐྱེད།
,,164,5,《པེ་》《སྣར་》,པར།
,,165,6,《སྣར་》,རྟོག
,30,166,1,《པེ་》《སྣར་》,mངེ་།
,,167,3,《པེ་》《སྣར་》,བརྟན།
,,168,4,《པེ་》《སྣར་》,pཡོད་པར།
,,169,5,《པེ་》《སྣར་》,པོའི།
,31,170,1,《པེ་》《སྣར་》,བསྒྲུབ།
,,171,2,《པེ་》《སྣར་》,གྱིས།
,,172,3,《པེ་》《སྣར་》,གཟུང་།
,,173,4,《པེ་》《སྣར་》,བལྟོས།
,,174,5,《པེ་》《སྣར་》,mབར་འགྱུར།
,,175,6,《པེ་》《སྣར་》,བརྗོད།
,32,176,1,《པེ་》《སྣར་》,གཟུང་།
,,177,2,《པེ་》《སྣར་》,ལྟ།,
,,178,3,《པེ་》《སྣར་》,པ།,
,,179,4,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,180,5,《པེ་》《ཅོ་》,བུ་བཞག,《སྣར་》,བུར་གཞག
,,181,6,《པེ་》《སྣར་》,འཇུག,
,,182,7,《པེ་》《སྣར་》,ནི།,
,,183,8,《པེ་》《སྣར་》,རིག,
,33,184,1,《པེ་》《སྣར་》,གཟུང་།,
,,185,2,《པེ་》《སྣར་》,འཐུན་པར་དེ་བྱེད་པ་ནི།,
,,186,3,《པེ་》《སྣར་》,གཟུང་།,
,,187,4,《པེ་》《སྣར་》,གཟུང་།,
,,188,5,《པེ་》《སྣར་》,བརྫུན།,
,,189,6,《པེ་》《སྣར་》,པར།,
,,190,7,《པེ་》《སྣར་》,གིས།,
,,191,8,《པེ་》《སྣར་》,བལྟོས།,
,34,192,1,《པེ་》《སྣར་》,བརྫུན།,
,,193,2,《པེ་》《སྣར་》,ཀྱིས།
,,194,3,《པེ་》《སྣར་》,གཙོ་བོ།
,35,195,1,《པེ་》《སྣར་》,གཟུང་བའི།
,,196,2,《པེ་》《སྣར་》,གཟུང་།
,,197,3,《པེ་》《སྣར་》,ཐོས།
,,198,4,《པེ་》《སྣར་》,pཔར་བྱེད།
,36,199,1,《པེ་》《སྣར་》,ལས།
,,200,2,《པེ་》《སྣར་》,སྤངས་པ་བྱེད།
,,201,3,《པེ་》《སྣར་》,pཏེ།
,,202,4,《པེ་》《སྣར་》,ཅིའི།
,,203,5,《པེ་》《སྣར་》,པར།
,,204,6,《པེ་》《སྣར་》,mཀྱི།
,37,205,1,《པེ་》《སྣར་》,mཡིན།
,,206,2,《པེ་》《སྣར་》,སྤངས།
,,207,3,《པེ་》《སྣར་》,པ།
,,208,4,《པེ་》《སྣར་》,པ།
,38,209,1,《པེ་》《སྣར་》,ཞེས།
,,210,2,《པེ་》《སྣར་》,བསམ།
,,211,3,《པེ་》《སྣར་》,སྒོམ།
,,212,4,《པེ་》《སྣར་》,pནོ།
,,213,5,《པེ་》《སྣར་》,བརྟགས།
,39,214,1,《པེ་》《སྣར་》,ཞུགས།
,,215,2,《པེ་》《སྣར་》,དེས།
,,216,3,《པེ་》《སྣར་》,པའི།
,,217,4,《སྣར་》,དེ།
,,218,5,《པེ་》《སྣར་》,mསྒྲུབ་པ།
,,219,6,《པེ་》《སྣར་》,ཀྱིས།
,40,220,1,《པེ་》《སྣར་》,སྒྲུབ།
,,221,2,《པེ་》《སྣར་》,བརྩེ་བ།
,,222,3,《པེ་》《སྣར་》,བསྒོམས།
,,223,4,《པེ་》《སྣར་》,སྟེ་རབ་ཏུ།
,,224,5,《པེ་》《སྣར་》,ཏེ།
,,225,6,《པེ་》《སྣར་》,སྟོང་པ།,
,,226,7,《པེ་》《སྣར་》,mན།,
,,227,8,《པེ་》《སྣར་》,pབྱས་པ།,
,41,228,1,《པེ་》《སྣར་》,པ་ནས།,
,,229,2,《པེ་》《སྣར་》,mདང་།,
,,230,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,231,4,《པེ་》《སྣར་》,བའི་ཕྱིར།,
,,232,5,《པེ་》《སྣར་》,བསྒྲུབ།,
,,233,6,《པེ་》,པ་ན་དགོས།,《སྣར་》,པ་ན་དགོངས།
,,234,7,《པེ་》《སྣར་》,mཔའི།,
,,235,8,《པེ་》《སྣར་》,pམང་།,
,,236,9,《པེ་》《སྣར་》,ཕྱིར།,
,,237,10,《པེ་》《སྣར་》,པ།,
,42,238,1,《པེ་》《སྣར་》,དང་།,
,,239,2,《པེ་》《སྣར་》,pཔ།,
,,240,3,《སྣར་》,pན།,
,,241,4,《པེ་》《སྣར་》,བརྟགས།
,,242,5,《པེ་》《སྣར་》,བསྒོམ།
,,243,6,《པེ་》《སྣར་》,བལྟོས།
,,244,7,《པེ་》,pབ།
,43,245,1,《པེ་》《སྣར་》,ཀྱི།
,,246,2,《པེ་》《སྣར་》,ཏེ།
,,247,3,《པེ་》《སྣར་》,pཐམས་ཅད།
,,248,4,《པེ་》《སྣར་》,pའདས།
,,249,5,《པེ་》《སྣར་》,pནི།
,44,250,1,《པེ་》《སྣར་》,mན།
,,251,2,《པེ་》《སྣར་》,བརྗོད།
,,252,3,《པེ་》《སྣར་》,ཀྱིས།
,,253,4,《པེ་》《སྣར་》,རྟོག
,45,254,1,《པེ་》,pཏུ།
,,255,2,《པེ་》《སྣར་》,ཅན།
,,256,3,《པེ་》《སྣར་》,བརྡ།
,,257,4,《པེ་》《སྣར་》,པ།,
,,258,5,《པེ་》《སྣར་》,བསྐྱེད།,
,,259,6,《པེ་》《སྣར་》,སྐྱེད།,
,,260,7,《པེ་》《སྣར་》《ཅོ་》,བསྐྱེད,
,,261,8,《པེ་》,mནི།,
,,262,9,《པེ་》《སྣར་》,pཀྱི།,
