མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,93,8,《པེ་》,བསྒོམས།,
,,94,9,《ཅོ་》,mབྱུང་བ།,
,,95,10,《པེ་》《སྣར་》,pརེ་འགའ་ནི་དོན་གྱིས་ཡི་གེ་འདྲེན་པར་བྱེད་དོ།།,
,,96,11,《པེ་》《སྣར་》,བསྒོམས།,
,697,97,1,《པེ་》《སྣར་》,བསྒོམས།,
,,98,2,《པེ་》《སྣར་》,བསམས།,
,,99,3,《པེ་》《སྣར་》,བའི།,
,,100,4,《པེ་》《སྣར་》,ལས།,
,,101,5,《པེ་》《སྣར་》,བསྒོམས།,
,,102,6,《པེ་》《སྣར་》,བསྒོམ།,
,,103,7,《པེ་》《སྣར་》,pཔ།,
,,104,8,《པེ་》《སྣར་》,mནོ།།,
,698,105,1,《པེ་》《སྣར་》,པ།,
,,106,2,《པེ་》《སྣར་》,བར།,
,,107,3,《པེ་》《སྣར་》,པ།,
,,108,4,《པེ་》《སྣར་》,ཡིས།,
,,109,5,《པེ་》《སྣར་》,pཡིན།,
,,110,6,《པེ་》《སྣར་》,mདག,
,699,111,1,《པེ་》《སྣར་》,གྱི།,
,,112,2,《པེ་》《སྣར་》,mཅད།,
,,113,3,《པེ་》《སྣར་》,ཤིན་ཏུ།,
,,114,4,《པེ་》《སྣར་》,འཆེས་པའི།,
,,115,5,《པེ་》《སྣར་》,པོ།,
,,116,6,《པེ་》《སྣར་》,བཞི།,
,700,117,1,《སྣར་》,དེའི།,
,,118,2,《པེ་》《སྣར་》,བཞི།,
,,119,3,《པེ་》《སྣར་》,mདག,
,701,120,1,《པེ་》《སྣར་》,སྒོམ།,
,,121,2,《པེ་》《སྣར་》,སྒོམ།,
,,122,3,《པེ་》,པར།,
,,123,4,《པེ་》《སྣར་》,ཕྱེད།,
,702,124,1,《པེ་》《སྣར་》,pནི།,
,,125,2,《པེ་》《སྣར་》,བསྐྱེད།,
,,126,3,《པེ་》《སྣར་》,mཔ།,
,,127,4,《པེ་》《སྣར་》,བ།,
,,128,5,《པེ་》《སྣར་》,pབ།,
,,129,6,《པེ་》《སྣར་》,pདགུ།,
,703,130,1,《པེ་》《སྣར་》,mདབུགས།,
,,131,2,《པེ་》《སྣར་》,དེ།,
,,132,3,《པེ་》《སྣར་》,པའི།,
,,133,4,《པེ་》《སྣར་》,ཏེ།,
,,134,5,《པེ་》《སྣར་》,རྟོག,
,,135,6,《པེ་》《སྣར་》,བ་ནི།,
,704,136,1,《པེ་》《སྣར་》,བགྲངས་པའི།,《ཅོ་》,འགྱུར་བའི།
,,137,2,《པེ་》《སྣར་》,བགྲངས་པའི།,
,,138,3,《པེ་》《སྣར་》,བགྲངས་པའི།,
,,139,4,《པེ་》《སྣར་》,ཀྱི།,
,,140,5,《པེ་》《སྣར་》,pདེ།,
,705,141,1,《པེ་》《སྣར་》,འགྲུབ།,
,,142,2,《པེ་》《སྣར་》,ལྔར།,
,,143,3,《པེ་》《སྣར་》,འདི།,
,,144,4,《པེ་》《སྣར་》,ཡོངས།,
,,145,5,《པེ་》《སྣར་》,mཔ།,
,,146,6,《པེ་》《སྣར་》,འགྱུར།,
,,147,7,《པེ་》《སྣར་》,mལ།,
,706,148,1,《པེ་》《སྣར་》,mདབུགས།,
,,149,2,《སྣར་》,པར།,
,,150,3,《པེ་》《སྣར་》,ཀྱིས།,
,,151,4,《པེ་》《སྣར་》,བརྟག,
,707,152,1,《པེ་》《སྣར་》,བསམས།,
,,153,2,《པེ་》《སྣར་》,བསྒོམས།,
,,154,3,《པེ་》《སྣར་》,བསམས།,
,,155,4,《པེ་》《སྣར་》,བསྒོམས།,
,,156,5,《པེ་》《སྣར་》,ནི་དྲན་པ་ཉེར་བར་འཇིག་པའོ་ཞེས་བྱུང་།,
,,157,6,《པེ་》《སྣར་》,པར།,
,,158,7,《པེ་》《སྣར་》,གཤེག,
,,159,8,《པེ་》《སྣར་》,པར།,
,708,160,1,《པེ་》《སྣར་》,ཉེར།,
,709,161,1,《པེ་》《སྣར་》,ལས།,
,,162,2,《པེ་》《སྣར་》,བ།,
,,163,3,《པེ་》《སྣར་》,གཉིས་ཀ་ཆོས་ཀྱིས།,
,710,164,1,《པེ་》《སྣར་》,པ།,
,,165,2,《པེ་》《སྣར་》,mདེ་ལས་བཟོད་པ་ཡང་སྐྱེ་སྟེ།,
,711,166,1,《པེ་》《སྣར་》,pལ།,
,,167,2,《པེ་》《སྣར་》,བྱའོ།,
,,168,3,《པེ་》《སྣར་》,ཐོས།,
,,169,4,《པེ་》《སྣར་》,དེ།,《ཅོ་》,དུ།
,712,170,1,《པེ་》《སྣར་》,mཐ་མ།,
,,171,2,《པེ་》《སྣར་》,mནི།,
,,172,3,《པེ་》《སྣར་》,བསྒོམ་འབྱུང་།,
,,173,4,《པེ་》,mལས།,
,713,174,1,《པེ་》《སྣར་》,ཐོབ།,
,,175,2,《པེ་》《སྣར་》,ལ་སྐྱེས་པས།,
,,176,3,《པེ་》《སྣར་》,པས།,
,,177,4,《པེ་》《སྣར་》,སྟོང་།,
,,178,5,《པེ་》《སྣར་》,སྟོང་།,
,714,179,1,《པེ་》《སྣར་》,pསུ།,
,,180,2,《པེ་》《སྣར་》,སྟོང་།,
,,181,3,《པེ་》《སྣར་》,སྟོང་།,
,,182,4,《པེ་》《སྣར་》,བཞིའི།,
,,183,5,《པེ་》《སྣར་》,སྔོན།,
,,184,6,《པེ་》《སྣར་》,གི།,
,,185,7,《པེ་》《སྣར་》,ཞེས།,
,,186,8,《པེ་》《སྣར་》,ནས།,
,,187,9,《པེ་》《སྣར་》,བདེན།,
,,188,10,《པེ་》《སྣར་》,pདེ།,
,,189,11,《པེ་》《སྣར་》,pམ།,
,,190,12,《པེ་》《སྣར་》,mཐོབ་པ།,
,,191,13,《པེ་》《སྣར་》,འདའ་བའི།,
,715,192,1,《པེ་》《སྣར་》,ཁ་ཅིག་གི།,
,,193,2,《པེ་》《སྣར་》,སྐྱེ་བ།,
,,194,3,《པེ་》《སྣར་》,སྐྱེ་བའི།,
,,195,4,《པེ་》,རྣམས།,《སྣར་》,རྣམས་པ།
,716,196,1,《པེ་》,mབུ།,
,,197,2,《པེ་》《སྣར་》,བའི།,
,,198,3,《པེ་》,སྐྱེས་པ།,
,,199,4,《པེ་》,བསྐྱེད།,
,,200,5,《སྣར་》,པར།,
,,201,6,《པེ་》,པོ།,《སྣར་》,པ།
,717,202,1,《པེ་》《སྣར་》,mཡང་།,
,,203,2,《པེ་》《སྣར་》,པ།,
,,204,3,《པེ་》《སྣར་》,ཟླ་ལ།,
,,205,4,《པེ་》《སྣར་》,པའི།,
,,206,5,《པེ་》《སྣར་》,དེ།,
,,207,6,《པེ་》《སྣར་》,mནི།,
,718,208,1,《པེ་》《སྣར་》,བའི།,
,,209,2,《པེ་》《སྣར་》,ཟློག,
,,210,3,《པེ་》《སྣར་》,ཤེས།,
,,211,4,《པེ་》《སྣར་》,mབ།,
,,212,5,《པེ་》《སྣར་》,mལ།,
,,213,6,《པེ་》《སྣར་》,རྟོག,
,,214,7,《པེ་》《སྣར་》,mརོ།།,
,,215,8,《པེ་》《སྣར་》,mལ།,
,,216,9,《པེ་》《སྣར་》,ན།,
,719,217,1,《པེ་》《སྣར་》,mརྣམས།,
,,218,2,《པེ་》《སྣར་》,mརྣམས།,
,,219,3,《པེ་》,ལྟར་བར།,《སྣར་》,ལྟ་བར།
,,220,4,《པེ་》,རྟོག,
,,221,5,《པེ་》《སྣར་》,པའི།,
,,222,6,《པེ་》《སྣར་》,སུམ།,
,,223,7,《པེ་》《སྣར་》,mན།,
,,224,8,《པེ་》,mམངོན་པར་རྟོགས་པའི།,
,,225,9,《པེ་》《སྣར་》,སྨྲས་པ།,
,720,226,1,《པེ་》《སྣར་》,mབས།,
,,227,2,《པེ་》《སྣར་》,པ་གང་།,
,,228,3,《པེ་》,བསྒོམ།,
,,229,4,《པེ་》《སྣར་》,ལ།,
,,230,5,《པེ་》《སྣར་》,ལ།,
,,231,6,《པེ་》《སྣར་》,གོ།,
,,232,7,《པེ་》《སྣར་》,ལྡང་བ།,
,,233,8,《པེ་》《སྣར་》,སྤོང་།,
,,234,9,《པེ་》《སྣར་》,mཀྱང་།,
,,235,10,《པེ་》《སྣར་》,རིམས་ཀྱིས།,
,,236,11,《པེ་》《སྣར་》,རྣམ་པར།,
,721,237,1,《པེ་》《སྣར་》,པ་ན།,
,,238,2,《པེ་》《སྣར་》,སྤོང་བའི།,
,,239,3,《པེ་》《སྣར་》,mམ་མཐོང་བ།,
,,240,4,《པེ་》《སྣར་》,mནམ།,
,,241,5,《པེ་》《སྣར་》,mམ།,
,,242,6,《པེ་》《སྣར་》,ལ།,
,722,243,1,《པེ་》,བལྟར།,《ཅོ་》,བར་ལྟ།
,,244,2,《པེ་》《སྣར་》,mནི།,
,,245,3,《པེ་》《སྣར་》,སྒོམ།,
,,246,4,《པེ་》《སྣར་》,mམ།,
,,247,5,《པེ་》《སྣར་》,mམ།,
,,248,6,《པེ་》《སྣར་》,པའི།,
,,249,7,《པེ་》《སྣར་》,ཀྱི།,
,723,250,1,《པེ་》《སྣར་》,ཀྱི།,
,,251,2,《པེ་》《སྣར་》,བའི།,
,,252,3,《པེ་》,བསྒོམས།,
,,253,4,《པེ་》《སྣར་》,ཀྱི།,
,,254,5,《པེ་》《སྣར་》,སྤང་བ།,
,,255,6,《པེ་》《སྣར་》,mཞིག,
,,256,7,《པེ་》《སྣར་》,mཁོ་ན།,
,,257,8,《པེ་》《སྣར་》,mབ།,
,,258,9,《པེ་》《སྣར་》,mཞུགས་པ།,
,,259,10,《ཅོ་》,pཔ།,
,,260,11,《པེ་》《སྣར་》,pགཉིས་འབྲས་བུ།,
,724,261,1,《པེ་》《སྣར་》,བསམ་པ།,
,,262,2,《པེ་》《སྣར་》,ལས།,
,,263,3,《པེ་》《སྣར་》,ཀྱི།,
,,264,4,《པེ་》《སྣར་》,mདེ།,
,,265,5,《པེ་》《སྣར་》,mམི།,
,,266,6,《པེ་》《སྣར་》,དེ།,
,,267,7,《པེ་》《སྣར་》,ཀྱི།,
,,268,8,《པེ་》《སྣར་》,བ།,
,,269,9,《པེ་》《སྣར་》,བུ།,
,725,270,1,《པེ་》《སྣར་》,mམི།,
,,271,2,《པེ་》《སྣར་》,ནི།,
,,272,3,《པེ་》,mས།,
,,273,4,《པེ་》《སྣར་》,mབ།,
,,274,5,《སྣར་》,ཀྱི།,
,,275,6,《པེ་》,ངུ་།,
,726,276,1,《པེ་》《སྣར་》,ཞེས།,
,,277,2,《པེ་》《སྣར་》,mལ།,
,,278,3,《པེ་》《སྣར་》,པས་ན།,
,,279,4,《པེ་》《སྣར་》,mབྱིད།,
,,280,5,《པེ་》《སྣར་》,རྣམ།,
,,281,6,《པེ་》《སྣར་》,བསྒོམས།,
,,282,7,《པེ་》《སྣར་》,mདེ།,
,,283,8,《པེ་》《སྣར་》,mཔ།,
,727,284,1,《སྣར་》,ཐོག,
,,285,2,《པེ་》《སྣར་》,mརོ།།,
,,286,3,《པེ་》《སྣར་》,དེ།,
,,287,4,《པེ་》《སྣར་》,pཤིང་།,
,,288,5,《པེ་》《སྣར་》,བརྟག,
,,289,6,《པེ་》《སྣར་》,སོ།,
,728,290,1,《པེ་》《སྣར་》,སུ།,
,,291,2,《པེ་》《སྣར་》,འདའ།,
,,292,3,《པེ་》《སྣར་》,ལ།,
,,293,4,《པེ་》《སྣར་》,གསོག,
,729,294,1,《པེ་》《སྣར་》,ན།,
,,295,2,《པེ་》《སྣར་》,གེགས།,
,,296,3,《པེ་》《སྣར་》,མདུན་ཁང་རྟིབ།,
,,297,4,《པེ་》《སྣར་》,བུར།,
,,298,5,《པེ་》,བསྒོམ།,《སྣར་》,བསྒོམས།
,,299,6,《པེ་》《སྣར་》,སྤངས་པ།,
,,300,7,《པེ་》《སྣར་》,སྤངས་པའི།,
,,301,8,《པེ་》《སྣར་》,ལས།,
,,302,9,《པེ་》《སྣར་》,གཅིག་གམ་གཉིས།,
,,303,10,《པེ་》,mནི།,
,,304,11,《པེ་》《སྣར་》,པའི།,
,,305,12,《པེ་》《སྣར་》,pན།,
,730,306,1,《པེ་》《སྣར་》,གེགས།,《ཅོ་》,དགེགས།
,,307,2,《སྣར་》,mཕྱིར།,
,,308,3,《པེ་》《སྣར་》,pལན་ཅིག་ཕྱིར།,
,,309,4,《པེ་》《སྣར་》,ཉེས་ཆ་བདུན་ནམ།,
,,310,5,《པེ་》《སྣར་》,pདང་།,
,,311,6,《པེ་》《སྣར་》,གྱི།,
,,312,7,《པེ་》《སྣར་》,གཉིས།,
,,313,8,《པེ་》《སྣར་》,གེགས།,
,731,314,1,《པེ་》《སྣར་》,གེགས་བྱ་བའི།,
,,315,2,《པེ་》《སྣར་》,བྱས་ཏེ།,
,,316,3,《པེ་》《སྣར་》,འདས་པ།,
,,317,4,《པེ་》《སྣར་》,མཆོད།,
,,318,5,《སྣར་》,པར།,
,,319,6,《པེ་》《སྣར་》,མཆོད།,
,,320,7,《པེ་》《སྣར་》,mཡོད།,
,,321,8,《པེ་》《སྣར་》,pཡང་།,
,,322,9,《པེ་》《སྣར་》,བལྟ་བར།,
,,323,10,《པེ་》,ཡོངས་སུ།,《སྣར་》,ཡོངས།
,,324,11,《པེ་》《སྣར་》,mན།,
,,325,12,《པེ་》《སྣར་》,པ།,
,,326,13,《པེ་》《སྣར་》,mདང་འདུ་བྱེད་པ།,
,,327,14,《པེ་》《སྣར་》,འདས་པ།,
,732,328,1,《པེ་》《སྣར་》,pལམ་དང་།,
,,329,2,《པེ་》《སྣར་》,འདས་པས།,
,,330,3,《པེ་》《སྣར་》,ལ།,
,,331,4,《པེ་》《སྣར་》,གང་།,
,,332,5,《པེ་》《སྣར་》,mཔ།,
,,333,6,《པེ་》《སྣར་》,བར།,
,,334,7,《པེ་》《སྣར་》,གི།,
,733,335,1,《པེ་》《སྣར་》,ན།,
,,336,2,《པེ་》《སྣར་》,mནི།,
,,337,3,《པེ་》《སྣར་》,འདའོ།,
,,338,4,《པེ་》《སྣར་》,རྣམས།,
,,339,5,《པེ་》《སྣར་》,mནས།,
,,340,6,《པེ་》《སྣར་》,བརྒལ།,
,,341,7,《པེ་》《སྣར་》,mའཕོས་ནས་འོག་མིན་དུ།,
,,342,8,《པེ་》《སྣར་》,mཅིའི་ཕྱིར་ཞེ་ན།,
,,343,9,《པེ་》《སྣར་》,རོ།།,
,,344,10,《པེ་》《སྣར་》,པར།,
,734,345,1,《པེ་》《སྣར་》,ན།,
,,346,2,《པེ་》《སྣར་》,མྱང་།,
,,347,3,《པེ་》《སྣར་》,mབ།,
,,348,4,《པེ་》《སྣར་》,པ།,
,,349,5,《པེ་》《སྣར་》,mལྔ།,
,,350,6,《པེ་》《སྣར་》,བཞིས་ཏེ།,
,,351,7,《པེ་》《སྣར་》,mརྣམ་པ།,
,,352,8,《པེ་》《སྣར་》,ལས།,
,,353,9,《པེ་》《སྣར་》,pཡང་།,
,,354,10,《པེ་》《སྣར་》,ཕྱེ་ནས།,
,,355,11,《པེ་》《སྣར་》,པ།,
,,356,12,《པེ་》《སྣར་》,བ།,
,735,357,1,《པེ་》《སྣར་》,པོ་ཞིག་ན།,
,,358,2,《པེ་》《སྣར་》,mཀྱང་།,
,,359,3,《པེ་》《སྣར་》,ན།,
,,360,4,《པེ་》《སྣར་》,mཔོ།,
,,361,5,《པེ་》《སྣར་》,ལྟ།,
,736,362,1,《སྣར་》,ནི།,
,,363,2,《པེ་》《སྣར་》,mལ།,
,737,364,1,《པེ་》《སྣར་》,མར།,
,,365,2,《པེ་》《སྣར་》,དེར།,
,,366,3,《པེ་》,pསུ།,
,,367,4,《པེ་》《སྣར་》,mཡང་།,
,,368,5,《པེ་》《སྣར་》,mཆེས།,《ཅོ་》,ཆོས།
,,369,6,《པེ་》《སྣར་》,mཡང་།,
,,370,7,《པེ་》,སྤང་བའམ།,《སྣར་》,སྤང་བ་དང་།
,738,371,1,《པེ་》《སྣར་》,ན།,
,,372,2,《པེ་》《སྣར་》,mསྟེ།,
,,373,3,《པེ་》《སྣར་》,ལ།,
,,374,4,《པེ་》《སྣར་》,pཔ།,
,,375,5,《པེ་》《སྣར་》,mདུ།,
,,376,6,《པེ་》《སྣར་》,ན།,
,,377,7,《པེ་》《སྣར་》,mལམ།,
,739,378,1,《པེ་》《སྣར་》,mདུ།,
,,379,2,《པེ་》《སྣར་》,mབར་བྱ།,
