མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,513,2,1,,,,,,,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད་ཅིང། ཆོས་ཚན་འདི་་《སྡེ་》《ཅོ་》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞི་གཟུང་ནས་《སྣར》དང་བསྡུར་བ་ཡིན།
,,3,2,《སྣར》,mཕུན་ཚོགས།,,,,,,
,515,4,1,《སྣར་》,དེ།,,,,,,
,526,5,1,《སྣར་》,pབ།,,,,,,
,533,6,1,《སྣར་》,ཁྱད།,,,,,,
,,7,2,《སྣར་》,ཕྱིར།,,,,,,
,539,8,1,《སྣར་》,གཙོལ།,,,,,,
,541,9,1,《སྣར་》,ཀྱིས།,,,,,,
