མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,747,74,1,《ཅོ་》,རང་།,,,,,,
,,75,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,76,3,《པེ་》《སྣར་》,སྲེག,,,,,,
,,77,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,78,5,《པེ་》《སྣར་》,མ།,,,,,,
,748,79,1,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,80,2,《པེ་》《ཅོ་》,mཞེས་བྱའོ།,,,,,,
,749,81,1,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,82,2,《པེ་》《སྣར་》,འདས་པའི།,,,,,,
,,83,3,《པེ་》《སྣར་》,pལས།,,,,,,
,750,84,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,751,85,1,《པེ་》,གཟུད་པའི།,,,,,,
,,86,2,《པེ་》《སྣར་》,བཟླས།,,,,,,
,,87,3,《པེ་》《སྣར་》,གཟུད་པའི།,,,,,,
,,88,4,《པེ་》《སྣར་》,བྱས་པ།,,,,,,
,752,89,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,90,2,《པེ་》《སྣར་》,གི།,,,,,,
,,91,3,《པེ་》《སྣར་》,mམེད།,,,,,,
,,92,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,753,93,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,94,2,《པེ་》《སྣར་》,pརྣམ་པ།,,,,,,
,,95,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,96,4,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,97,5,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,98,6,《པེ་》《སྣར་》,མོ།,,,,,,
,,99,7,《པེ་》《སྣར་》,པོ།,,,,,,
,754,100,1,《པེ་》《སྣར་》,བཞི་སྟེ།,,,,,,
,,101,2,《པེ་》《སྣར་》,mའདི་ལྟ་སྟེ།,,,,,,
,755,102,1,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,103,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,104,3,《པེ་》《སྣར་》,པ་ལས།,,,,,,
,,105,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,106,5,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,,
,,107,6,《པེ་》《སྣར་》,ཟག,,,,,,
,756,108,1,《པེ་》《སྣར་》,དེ།,,,,,,
,757,109,1,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,758,110,1,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,111,2,《པེ་》《སྣར་》,mནས།,,,,,,
,,112,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,759,113,1,《པེ་》《སྣར་》,mམ།,,,,,,
,,114,2,《པེ་》《སྣར་》,ཐུག,,,,,,
,,115,3,《པེ་》《སྣར་》,ཞེས་སོ།,,,,,,
