མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,795,96,1,《པེ་》《སྣར་》,བརྫུས།,,,,,,
,,97,2,《པེ་》,བརྟག,,,,,,
,,98,3,《སྣར་》,ཇིས།,,,,,,
,,99,4,《སྣར་》,དེ།,,,,,,
,,100,5,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,101,6,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,102,7,《པེ་》《སྣར་》,ཏོ།,,,,,,
,796,103,1,《སྣར་》,ཀྱིས།,,,,,,
,,104,2,《སྣར་》,རྟོག,,,,,,
,,105,3,《པེ་》《སྣར་》,བར།,,,,,,
,797,106,1,《སྣར་》,ཀྱིས།,,,,,,
,,107,2,《སྣར་》,གྱིས།,,,,,,
,,108,3,《སྣར་》,གྱིས།,,,,,,
,,109,4,《པེ་》《སྣར་》,བཅར།,,,,,,
,798,110,1,《སྣར་》,འཐུན།,,,,,,
,,111,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,112,3,《ཅོ་》,mགྲངས།,,,,,,
,,113,4,《པེ་》,ན།;《སྣར་》,བསུན་པ་ན།,,,,,
,,114,5,《པེ་》,གི་གོ་རིམ།;《སྣར་》,གིས་གོ་རིམ།,,,,,
,,115,6,《པེ་》,mཔའི།,,,,,,
,799,116,1,《སྣར་》,མཚན།,,,,,,
,,117,2,《སྣར་》,བརྟགས།,,,,,,
,,118,3,《སྣར་》,ཀྱིས།,,,,,,
,,119,4,《སྣར་》,མི།,,,,,,
,,120,5,《པེ་》《སྣར་》,རིམ་དུ་བླགས།,,,,,,
,,121,6,《སྣར་》,ཀྱིས།,,,,,,
,800,122,1,《སྣར་》,གྱིས།,,,,,,
,,123,2,《སྣར་》,བཞན།,,,,,,
,,124,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,125,4,《པེ་》《སྣར་》,སྤང་པའི།,,,,,,
,,126,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,127,6,《སྣར་》,བསྐུར།,,,,,,
,,128,7,《པེ་》《སྣར་》,སྤང་བ།,,,,,,
,,129,8,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,130,9,《པེ་》《སྣར་》,གཅིག,,,,,,
,801,131,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,132,2,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,133,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,134,4,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,135,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,136,6,《པེ་》《སྣར་》,སྤང་པ།,,,,,,
,,137,7,《པེ་》《སྣར་》,ནི།,,,,,,
,,138,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,139,9,《སྣར་》,པའི།,,,,,,
,,140,10,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,141,11,《ཅོ་》,བླངས་པ།,,,,,,
,,142,12,《སྣར་》,mལས།,,,,,,
,,143,13,《པེ་》《སྣར་》,གུས།,,,,,,
,,144,14,《པེ་》《སྣར་》,བརྟག,,,,,,
,802,145,1,《པེ་》《སྣར་》,གཞན།,,,,,,
,,146,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,147,3,《པེ་》《སྣར་》,ཞེའོ།,,,,,,
,,148,4,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,149,5,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,,150,6,《པེ་》,རྟགས།,,,,,,
,803,151,1,《སྣར་》,པ།,,,,,,
,,152,2,《པེ་》《སྣར་》,རྟོག,,,,,,
,,153,3,《པེ་》《སྣར་》,རྟོག,,,,,,
,,154,4,《ཅོ》,བསམ།,,,,,,
,,155,5,《སྣར་》,རྣམས།,,,,,,
,804,156,1,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,157,2,《པེ་》《སྣར་》,བརྟག,,,,,,
,,158,3,《པེ་》《སྣར་》,ཅད།,,,,,,
,,159,4,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,160,5,《པེ་》,ཏེ།,,,,,,
,,161,6,《པེ་》《སྣར་》,mདང་།,,,,,,
,,162,7,《སྣར་》,ཅིག,,,,,,
,,163,8,《སྣར་》,བསྒྲུབས།,,,,,,
,,164,9,《སྣར་》,བསྒྲུབས།,,,,,,
,805,165,1,《པེ་》《སྣར་》,ཅད།,,,,,,
,,166,2,《པེ་》《སྣར་》,བཞིས།,,,,,,
,,167,3,《པེ་》《སྣར་》,རྩད།,,,,,,
,,168,4,《པེ་》《སྣར་》,རྩད།,,,,,,
,806,169,1,《པེ་》《སྣར་》,སྔར།,,,,,,
,,170,2,《པེ་》,སྐྱེའོ།,,,,,,
,,171,3,《པེ་》《སྣར་》,གཞིའི།,,,,,,
,,172,4,《པེ་》《སྣར་》,དྲིས་ན།;《ཅོ་》,བྲིས་ནས།,,,,,
,,173,5,《པེ་》《སྣར་》《ཅོ་》,གཞི།,,,,,,
,,174,6,《པེ་》《སྣར་》,ཇི།,,,,,,
,,175,7,《པེ་》《སྣར་》,པའི།,,,,,,
,,176,8,《སྣར་》,བརྟན།,,,,,,
,807,177,1,《པེ་》《སྣར་》,འདྲ།,,,,,,
,,178,2,《སྣར་》,དྲང་།,,,,,,
,,179,3,《སྣར་》,གིས།,,,,,,
,,180,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,181,5,《པེ་》《སྣར་》,གཏན།,,,,,,
,,182,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,183,7,《པེ་》《སྣར་》,ཏེ་བརྟག,,,,,,
,,184,8,《པེ་》《སྣར་》,pལས།,,,,,,
,,185,9,《པེ་》《སྣར་》,པའོ།,,,,,,
,,186,10,《པེ་》《སྣར་》,pལས།,,,,,,
,808,187,1,《པེ་》《སྣར་》,pདག,,,,,,
,,188,2,《པེ་》《སྣར་》,རྟོག,,,,,,
,,189,3,《སྣར་》,གསལ།,,,,,,
,,190,4,《སྣར་》,གིས།,,,,,,
,,191,5,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,,192,6,《པེ་》《སྣར་》,དེ།,,,,,,
,809,193,1,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,194,2,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,195,3,《པེ་》《སྣར་》,འཕྲེང་།,,,,,,
,,196,4,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,197,5,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,,198,6,《པེ་》《སྣར་》,པའི།,,,,,,
,,199,7,《སྣར་》,གསལ།,,,,,,
,,200,8,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,201,9,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,202,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,203,11,《པེ་》《སྣར་》,pལས།,,,,,,
,,204,12,《པེ་》《སྣར་》,pལས།,,,,,,
,810,205,1,《པེ་》,རྟགས།,,,,,,
,,206,2,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,207,3,《པེ་》《སྣར་》,ན་ཕྱི།,,,,,,
,,208,4,《པེ་》《སྣར་》,པ།,,,,,,
,,209,5,《པེ་》《སྣར་》,འཆད།,,,,,,
,,210,6,《པེ་》《སྣར་》,པ།,,,,,,
,,211,7,《པེ་》,pལས།,,,,,,
,811,212,1,《པེ་》《སྣར་》,ཆས།,,,,,,
,,213,2,《སྣར་》,འཐོབ།,,,,,,
,,214,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,215,4,《པེ་》《སྣར་》,ཡིན་ནོ།;《ཅོ་》,མ་ཡིན་ནམ།,,,,,
,,216,5,《པེ་》《སྣར་》,བར།,,,,,,
,,217,6,《པེ་》《སྣར་》,mདེ།,,,,,,
,,218,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,219,8,《སྣར་》,mརོ།,,,,,,
,812,220,1,《པེ་》《སྣར་》《ཅོ་》,བསྟན།,,,,,,
,,221,2,《པེ་》,mཔ།,,,,,,
,,222,3,《པེ་》《སྣར་》,བོ།,,,,,,
,,223,4,《པེ་》《སྣར་》,གི།,,,,,,
,,224,5,《པེ་》《སྣར་》,ཞེས།,,,,,,
,813,225,1,《པེ་》《སྣར་》,བ།,,,,,,
,,226,2,《པེ་》《སྣར་》,གི།,,,,,,
,,227,3,《པེ་》《སྣར་》,པ།,,,,,,
,,228,4,《པེ་》《སྣར་》,བའི།,,,,,,
,,229,5,《ཅོ་》,ལྔ།,,,,,,
,814,230,1,《སྣར་》,པར།,,,,,,
,,231,2,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,232,3,《པེ་》,པ།,,,,,,
,,233,4,《པེ་》《སྣར་》,མིན།,,,,,,
,,234,5,《པེ་》《སྣར་》,mཔ།,,,,,,
,,235,6,《སྣར་》,བ།,,,,,,
,815,236,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,237,2,《པེ་》《སྣར་》,པའི།,,,,,,
,,238,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,239,4,《པེ་》《སྣར་》,རིག,,,,,,
,816,240,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,241,2,《པེ་》《སྣར་》,ལྔ།,,,,,,
,,242,3,《ཅོ་》,བསམ།,,,,,,
,,243,4,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,244,5,《པེ་》《སྣར་》,གྲེག,,,,,,
,817,245,1,《པེ་》《སྣར་》,མི་བཟུང་།;《ཅོ་》,མ་གཟུང་།,,,,,
,,246,2,《པེ་》《སྣར་》,གི།,,,,,,
,,247,3,《པེ་》《སྣར་》,mམ་གཅིག,,,,,,
,,248,4,《པེ་》《སྣར་》,གྲེག,,,,,,
,,249,5,《པེ་》,མ་ཅིག;《སྣར་》,ལ་ཅིག,,,,,
,,250,6,《སྣར་》,པས།,,,,,,
,,251,7,《པེ་》《སྣར་》,བསལ།,,,,,,
,,252,8,《སྣར་》,ཅིག,,,,,,
,,253,9,《པེ་》,གྲེག;《སྣར་》,གྲག,,,,,
,,254,10,《པེ་》《སྣར་》,ལྟ།,,,,,,
,818,255,1,《པེ་》《སྣར་》,ན།,,,,,,
,,256,2,《པེ་》《སྣར་》,རྟོག,,,,,,
,,257,3,《པེ་》,པ།,,,,,,
,,258,4,《པེ་》,གཞི།,,,,,,
